Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Total_T_cells_-_%_of_CD45+,Ly6C+_CD5+_T_cells_-_%_of_CD5+_T_cells,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_NKT_cells,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Immature_NK_cells_-_%_of_NK_cells,Ly6C+_immature_NK_cells_-_%_of_immature_NK_cells,Mature_NK_cells_-_%_of_NK_cellls,Ly6C+_mature_NK_cells_-_%_of_mature_NK_cells,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Marginal_zone_B_cells_-_%_of_B2_cells,Marginal_zone_precursor_B_cells_-_%_of_B2_cells,Transitional_1_B_cells_-_%_of_B2_cells,Transitional_2_B_cells_-_%_of_B2_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Early_germinal_centre_B_cells_-_%_of_B2_cells,Late_germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Ly6C+_CD5+_T_cells_-_%_of_lymphocytes,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_lymphocytes,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Immature_NK_cells_-_%_of_lymphocytes,Ly6C+_immature_NK_cells_-_%_of_lymphocytes,Mature_NK_cells_-_%_of_lymphocytes,Ly6C+_mature_NK_cells_-_%_of_lymphocytes,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Marginal_zone_B_cells_-_%_of_CD45+,Marginal_zone_precursor_B_cells_-_%_of_CD45+,Transitional_1_B_cells_-_%_of_CD45+,Transitional_2_B_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,B2_marginal_zone_+_precursor_cells_-_%_of_lymphocytes,B2_t1_+_t2_cells_-_%_of_lymphocytes,B2_t3_+_f1+_f2_+_gc_cells_-_%_of_lymphocytes,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Caprin1,M01789927,WT,WT,Male,2014-08-06,MFYB,25.09,36.229,94.014,59.267,89.373,33.471,66.227,0.931,10.627,54.521,44.357,8.324,40.254,9.268,21.109,60.772,0.783,5.986,31.713,54.394,43.742,0.244,0.837,65.981,43.506,40.476,59.249,2.381,56.494,79.337,20.31,7.828,1.881,25.638,74.592,31.219,40.369,28.55,59.631,38.213,51.114,2.198,97.669,7.789,5.441,13.215,5.125,54.088,0.156,NA,NA,NA,NA,11.955,13.255,73.329,7.419,11.012,29.77,17.141,12.63,11.412,32.583,14.81,85.19,55.212,44.335,8.945,10.657,23.588,13.98,12.494,4.182,8.275,0.116,1.486,0.81,0.659,0.124,9.495,0.88,2.004,5.77,0.074,1.502,0.476,0.817,0.657,0.004,0.509,0.364,0.147,0.216,0.009,0.473,0.375,0.096,0.037,0.482,1.403,0.587,0.957,0.273,1.414,0.54,1.124,49.923,3.889,2.716,6.597,2.558,27.002,0.078,NA,NA,NA,NA,6.918,7.67,42.433,0.817,2.209,1.272,0.937,0.847,2.417,0.358,2.059,1.137,0.913,0.082
Caprin1,M01789928,WT,WT,Male,2014-08-06,MFYB,24.278,35.977,93.574,59.838,88.98,37.324,62.459,1.554,11.1,49.613,49.724,8.991,39.584,8.158,24.071,63.53,1.801,6.426,34.38,47.65,51.368,0.171,0.827,69.722,42.04,39.118,60.594,11.122,57.96,78.651,21.14,9.875,2.022,20.373,79.842,36.723,39.926,24.05,60.074,45.149,53.938,2.375,97.426,9.187,8.414,11.409,4.78,55.405,0.327,NA,NA,NA,NA,13.347,11.997,73.149,7.234,7.087,26.36,13.763,12.597,11.915,33.092,17.154,82.846,51.63,47.966,11.983,10.842,22.718,13.594,12.096,4.515,7.555,0.188,1.509,0.749,0.75,0.136,8.993,0.734,2.165,5.713,0.162,1.56,0.536,0.743,0.801,0.003,0.534,0.348,0.136,0.211,0.039,0.479,0.377,0.101,0.047,0.412,1.615,0.743,1.045,0.251,1.573,0.71,1.281,52.55,4.828,4.422,5.995,2.512,29.115,0.172,NA,NA,NA,NA,7.574,6.808,41.512,0.513,1.907,0.996,0.911,0.862,2.394,0.411,1.983,1.024,0.951,0.114
Mpg,M01790990,Mpg:Hom,Hom,Male,2014-08-06,MGJL,27.17,41.834,94.24,56.387,89.431,21.985,77.933,0.911,10.604,44.263,55.127,7.468,43.205,5.318,22.776,69.254,1.567,5.76,36.145,43.28,55.357,0.17,0.889,73.561,42.054,31.105,68.806,6.328,57.946,60.22,39.78,18.176,1.875,22.698,77.515,36.989,39.353,28.26,60.647,45.932,51.031,2.148,97.708,8.683,5.939,13.403,4.176,49.744,0.108,NA,NA,NA,NA,18.252,13.7,66.14,7.398,9.444,33.164,19.321,13.842,9.48,28.793,17.152,82.848,55.629,43.955,9.325,15.352,25.605,14.438,12.912,2.839,10.063,0.118,1.531,0.678,0.844,0.114,11.063,0.588,2.52,7.661,0.173,1.565,0.566,0.677,0.866,0.003,0.59,0.374,0.116,0.257,0.024,0.515,0.31,0.205,0.094,0.426,1.454,0.694,1.059,0.299,1.632,0.75,1.096,49.861,4.329,2.961,6.683,2.082,24.803,0.054,NA,NA,NA,NA,9.095,6.827,32.957,0.699,2.453,1.429,1.024,0.701,2.13,0.365,1.765,0.982,0.776,0.072
1700067K01Rik,M01792585,WT,WT,Female,2014-08-06,MFLD,26.412,29.724,93.283,57.994,89.133,34.983,64.771,1.248,10.843,54.755,44.966,9.165,41.501,9.222,19.677,64,0.9,6.717,44.927,48.008,49.53,0.225,1.409,66.319,37.222,59.441,40.369,2.352,62.778,96.57,3.392,1.018,1.57,32.909,67.197,39.894,43.769,37.512,56.231,50.156,51.352,2.89,96.893,6.942,6.161,9.873,6.459,62.145,0.194,NA,NA,NA,NA,8.453,11.38,78.841,7.222,8.945,32.102,19.866,12.236,14.544,26.665,19.491,80.509,48.076,51.58,11.797,9.609,24.638,14.288,12.736,4.455,8.249,0.159,1.549,0.848,0.697,0.142,10.225,0.943,2.012,6.544,0.092,1.774,0.797,0.852,0.879,0.004,1.064,0.524,0.312,0.212,0.012,0.884,0.854,0.03,0.009,0.517,1.055,0.626,0.986,0.37,1.267,0.635,1.484,49.757,3.454,3.065,4.913,3.214,30.921,0.097,NA,NA,NA,NA,4.542,6.115,42.364,0.646,2.318,1.435,0.884,1.05,1.926,0.375,1.55,0.745,0.8,0.094
Zfp365,M01796193,Zfp365:Hom,Hom,Male,2014-08-06,MFXF,28.37,39.343,94.555,58.67,90.27,32.134,67.688,1.093,9.698,53.876,45.927,7.294,40.879,8.013,27.506,58.502,0.699,5.445,43.461,44.584,53.366,0.151,0.857,82.153,54.277,28.582,71.347,2.794,45.723,69.813,30.102,15.731,2.195,22.885,77.342,34.229,30.876,29.851,69.124,34.089,50.014,1.993,97.841,6.484,4.464,12.428,5.464,54.444,0.219,NA,NA,NA,NA,13.917,13.325,70.998,7.742,8.982,33.102,21.107,11.996,14.282,25.533,16.661,83.339,52.246,47.39,8.155,14.9,26.826,15.739,14.207,4.565,9.617,0.155,1.526,0.822,0.701,0.111,10.966,0.879,3.016,6.415,0.077,1.545,0.671,0.689,0.824,0.002,0.731,0.465,0.133,0.332,0.013,0.392,0.274,0.118,0.062,0.502,1.698,0.751,0.982,0.293,2.198,0.749,0.997,48.934,3.173,2.184,6.081,2.674,26.642,0.107,NA,NA,NA,NA,6.708,6.422,34.219,0.695,2.563,1.634,0.929,1.106,1.977,0.329,1.647,0.861,0.781,0.064
Zfp365,M01796194,Zfp365:Hom,Hom,Male,2014-08-06,MFXF,27.226,40.145,94.766,57.081,88.473,41.778,57.969,0.88,11.498,55.256,44.193,7.244,42.394,12.683,24.653,52.957,0.741,5.234,44.444,55.251,42.175,0.257,1.01,72.501,39.155,41.147,58.938,1.939,60.845,83.017,16.658,7.325,1.89,28.32,71.91,33.662,35.684,26.907,64.316,36.83,52.667,2.108,97.731,10.151,4.741,11.117,6.207,56.786,0.173,NA,NA,NA,NA,14.169,12.83,71.468,6.759,10.686,28.085,17.25,10.834,9.439,33.968,15.868,84.132,53.874,45.798,11.756,13.601,25.801,14.728,13.03,5.444,7.553,0.115,1.693,0.936,0.748,0.123,10.938,1.387,2.697,5.793,0.081,1.425,0.633,0.787,0.601,0.004,0.736,0.395,0.163,0.233,0.008,0.614,0.51,0.102,0.045,0.535,1.359,0.636,0.904,0.243,1.629,0.6,1.11,51.472,5.225,2.44,5.722,3.195,29.229,0.089,NA,NA,NA,NA,7.616,6.896,38.411,0.722,1.898,1.166,0.732,0.638,2.296,0.364,1.932,1.041,0.885,0.104
Tchp,M01796225,Tchp:Hom,Hom,Female,2014-08-06,MGEH,30.183,32.508,94.7,58.727,89.378,35.124,63.969,0.811,10.564,49.586,49.568,7.218,40.822,8.764,17.24,64.079,0.406,5.3,46.635,52.344,45.093,0.125,1.252,63.059,30.884,57.414,42.328,1.983,69.116,87.635,12.327,4.083,1.687,33.32,66.957,42.233,35.444,29.776,64.556,48.203,49.554,2.661,97.154,12.846,5.515,9.165,3.483,54.378,0.111,NA,NA,NA,NA,16.337,10.553,71.674,6.114,12.971,26.694,16.286,10.408,12.84,30.331,17.724,82.276,52.371,47.171,11.626,12.031,28.583,16.786,15.003,5.27,9.597,0.122,1.773,0.879,0.879,0.128,11.668,1.023,2.012,7.477,0.047,1.6,0.746,0.837,0.721,0.002,0.804,0.387,0.222,0.164,0.008,0.865,0.758,0.107,0.035,0.562,1.129,0.712,0.827,0.246,1.506,0.726,1.319,48.144,6.184,2.655,4.412,1.677,26.179,0.053,NA,NA,NA,NA,8.397,5.424,36.841,0.793,1.632,0.996,0.636,0.785,1.854,0.329,1.526,0.799,0.72,0.084
Pitrm1,M01796876,Pitrm1:Het,Het,Male,2014-08-06,MFXT,28.395,42.177,94.793,58.472,88.557,33.348,66.42,0.914,11.437,52.5,46.759,8.148,41.012,10.209,21.841,58.786,0.45,5.207,38.075,49.008,48.602,0.203,0.778,70.896,49.764,38.76,61.326,3.704,50.236,86.092,13.823,4.352,2.236,23.58,76.584,31.331,37.575,26.149,62.425,43.54,48.691,2.323,97.508,9.267,6.621,11.79,4.566,51.964,0.397,NA,NA,NA,NA,16.787,11.502,70.009,6.936,9.27,29.357,16.637,12.72,12.951,30.665,16.079,83.921,53.147,46.443,10.294,15.24,26.917,15.739,13.938,4.648,9.257,0.127,1.8,0.945,0.842,0.147,11.039,1.127,2.411,6.489,0.05,1.479,0.563,0.725,0.719,0.003,0.592,0.387,0.15,0.237,0.014,0.391,0.336,0.054,0.017,0.527,1.713,0.701,1.122,0.293,1.864,0.811,1.131,47.477,4.4,3.143,5.598,2.168,24.671,0.189,NA,NA,NA,NA,8.512,5.832,35.498,0.643,2.036,1.154,0.882,0.898,2.127,0.342,1.785,0.949,0.829,0.085
Pitrm1,M01796880,Pitrm1:Het,Het,Female,2014-08-06,MFXT,29.053,35.483,93.16,57.737,90.802,23.214,76.791,1.186,9.185,48.049,51.602,11.844,41.737,3.573,26.315,69.176,0.446,6.84,45.907,36.196,61.808,0.335,1.496,68.924,24.772,33.453,66.277,2.158,75.228,54.634,45.247,23.097,1.966,20.987,79.149,52.178,29.232,20.477,70.768,30.773,46.589,3.478,96.214,12.227,7.625,12.857,3.256,44.696,0.265,NA,NA,NA,NA,22.145,15.019,60.899,8.49,8.854,37.695,24.236,13.459,13.455,22.226,18.301,81.699,46.119,53.622,12.137,14.491,27.066,15.627,14.19,3.294,10.896,0.168,1.435,0.69,0.741,0.17,11.296,0.404,2.973,7.814,0.05,1.987,0.912,0.719,1.228,0.007,0.727,0.371,0.124,0.246,0.008,1.126,0.615,0.509,0.26,0.413,1.556,1.026,0.806,0.165,1.952,0.601,1.62,44.825,5.481,3.418,5.763,1.46,20.035,0.119,NA,NA,NA,NA,9.576,6.494,26.333,0.752,3.2,2.058,1.143,1.142,1.887,0.345,1.542,0.711,0.827,0.1
Pitrm1,M01796892,Pitrm1:Het,Het,Male,2014-08-06,MFXT,25.205,41.478,94.641,53.7,87.163,42.898,56.499,1.275,12.808,56.115,43.072,9.204,45.811,12.226,28.414,49.88,0.592,5.359,45.533,50.469,47.038,0.173,1.481,77.682,35.284,37.245,62.564,1.786,64.716,61.926,36.579,21.245,2.762,25.392,74.849,36,30.94,27.169,69.06,40.205,54.028,1.9,97.966,10.814,5.063,9.938,4.748,58.613,0.055,NA,NA,NA,NA,15.225,10.304,73.092,7.719,10.779,30.988,21.337,9.652,9.919,32.081,14.874,85.126,54.206,45.367,11.014,12.985,23.854,12.81,11.165,4.79,6.308,0.142,1.641,0.921,0.707,0.151,10.928,1.336,3.105,5.451,0.065,1.351,0.615,0.682,0.635,0.002,0.76,0.523,0.195,0.327,0.009,0.959,0.594,0.351,0.204,0.701,2.067,0.994,1.124,0.305,2.508,1.009,1.027,52.929,5.724,2.68,5.26,2.513,31.023,0.029,NA,NA,NA,NA,8.176,5.533,39.25,0.832,2.392,1.647,0.745,0.766,2.476,0.368,2.108,1.143,0.956,0.105
Trub2,M01797059,Trub2:Het,Het,Female,2014-08-06,MFJX,28.307,31.616,94.573,56.445,88.125,30.086,69.691,0.991,11.886,48.924,50.483,8.296,42.901,7.09,20.046,67.581,0.499,5.427,43.632,50.076,47.754,0.369,1.647,62.407,23.275,42,57.565,2.522,76.725,58.929,40.543,17.304,2.002,29.582,70.518,46.845,37.116,25.968,62.884,45.489,48.598,2.629,97.182,9.955,8.275,11.099,5.296,56.526,0.241,NA,NA,NA,NA,11.205,12.377,74.866,7.353,13.776,26.124,16.836,9.288,11.278,32.407,16.632,83.368,51.426,48.188,12.779,10.982,26.771,15.111,13.316,4.006,9.28,0.132,1.796,0.879,0.907,0.149,11.485,0.814,2.302,7.762,0.057,1.536,0.67,0.769,0.734,0.006,0.621,0.383,0.161,0.221,0.01,1.264,0.745,0.512,0.219,0.592,1.412,0.938,1.006,0.261,1.704,0.775,1.278,47.228,4.701,3.908,5.242,2.501,26.696,0.114,NA,NA,NA,NA,5.79,6.395,38.683,1.013,1.921,1.238,0.683,0.829,2.383,0.396,1.987,1.022,0.957,0.122
Pigf,M01797499,WT,WT,Female,2014-08-06,MGLS,29.712,30.572,94.264,56.31,88.946,33.633,66.092,1.428,11.02,46.318,53.337,9.858,43.131,10.116,18.678,64.332,2.79,5.736,43.595,47.096,51.125,0.489,1.255,64.965,30.457,40.628,59.024,2.354,69.543,72.547,26.842,13.02,1.952,28.24,72.033,44.408,34.781,28.964,65.219,41.724,49.224,2.963,96.84,11.719,7.151,11.308,4.554,55.023,0.124,NA,NA,NA,NA,14.642,13.917,69.959,7.518,12.442,33.237,20.809,12.429,11.657,25.008,20.053,79.947,50.521,49.057,11.664,11.122,28.008,15.771,14.028,4.718,9.271,0.2,1.738,0.805,0.927,0.171,12.08,1.222,2.256,7.771,0.337,1.704,0.743,0.803,0.871,0.008,0.672,0.382,0.155,0.226,0.009,0.873,0.633,0.234,0.114,0.551,1.406,0.867,0.944,0.273,1.771,0.739,1.459,47.669,5.586,3.409,5.39,2.171,26.229,0.059,NA,NA,NA,NA,7.262,6.902,34.698,0.935,2.499,1.564,0.934,0.876,1.88,0.377,1.503,0.759,0.737,0.086
Pigf,M01797502,WT,WT,Female,2014-08-06,MGLS,29.976,33.158,94.453,57.023,90.523,19.715,80.276,0.903,9.47,42.054,57.75,8.873,42.495,3.815,22.532,72.14,0.87,5.547,46.091,31.897,66.56,0.14,1.319,66.874,36.164,33.613,66.177,3.704,63.836,66.271,33.571,12.51,2.586,19.309,80.794,50.077,29.267,28.801,70.733,41.985,45.268,2.627,97.191,12.624,6.821,9.529,2.524,50.9,0.055,NA,NA,NA,NA,18.442,10.955,68.929,8.61,14.355,35.244,20.727,14.517,11.382,22.314,17.071,82.929,53.243,46.485,12.961,13.702,28.313,16.145,14.615,2.881,11.732,0.132,1.529,0.643,0.883,0.136,12.032,0.459,2.711,8.68,0.105,1.663,0.766,0.53,1.107,0.002,0.799,0.477,0.16,0.316,0.018,0.842,0.558,0.283,0.105,0.499,2.089,1.295,1.113,0.321,2.69,1.13,1.189,43.997,5.554,3.001,4.192,1.11,22.394,0.024,NA,NA,NA,NA,7.674,4.558,28.681,1.236,3.035,1.785,1.25,0.98,1.921,0.328,1.593,0.848,0.741,0.096
Bap1,M01799925,Bap1:Het,Het,Female,2014-08-06,MGGV,27.464,33.251,94.496,62.833,88.475,30.969,68.731,0.792,11.425,41.474,57.953,7.354,36.55,7.063,20.786,67.586,0.633,5.504,45.91,46.042,51.731,0.265,0.804,66.316,35.338,51.761,48.239,2.23,64.662,85.119,14.304,4.49,1.371,26.769,73.45,41.357,33.592,30.38,66.408,43.013,54.111,2.823,96.912,17.219,18.054,4.344,2.068,48.552,0.529,NA,NA,NA,NA,16,8.934,72.946,6.042,7.52,33.328,18.962,14.366,13.334,28.666,13.337,86.663,56.096,43.46,10.986,10.9,25.952,16.307,14.427,4.468,9.916,0.114,1.863,0.773,1.08,0.137,9.486,0.67,1.972,6.411,0.06,1.512,0.694,0.696,0.782,0.004,0.476,0.284,0.147,0.137,0.006,0.52,0.442,0.074,0.023,0.367,1.007,0.567,0.676,0.205,1.336,0.575,1.527,52.44,9.03,9.467,2.278,1.084,25.46,0.277,NA,NA,NA,NA,8.82,4.925,40.21,0.454,2.014,1.146,0.868,0.806,1.732,0.231,1.501,0.842,0.652,0.072
Dlg3,M01800536,Dlg3:Hemi,Hom,Male,2014-08-06,MCZY,37.164,42.554,94.095,40.551,90.46,25.722,73.515,1.67,9.432,48.284,50.343,8.009,54.713,6.975,28.635,58.535,1.392,5.905,51.325,33.612,60.391,1.534,1.221,80.011,55.138,20.455,79.545,9.091,44.862,60.335,40.223,7.821,5.24,19.276,80.841,40.479,24.452,26.181,75.548,38.615,48.048,2.108,97.743,9.244,6.563,9.265,3.951,55.425,0.109,NA,NA,NA,NA,17.185,9.391,71.728,9.257,9.859,42.046,30.149,11.897,11.252,22.184,15.988,84.012,53.111,46.503,12.422,15.256,34.97,14.181,12.828,3.3,9.43,0.214,1.338,0.646,0.673,0.107,19.133,1.335,5.479,11.2,0.266,2.195,1.126,0.738,1.325,0.034,0.768,0.673,0.138,0.536,0.061,0.548,0.331,0.22,0.043,1.01,4.236,2.121,0.87,0.228,2.687,1.038,1.013,46.963,4.341,3.082,4.351,1.856,26.029,0.051,NA,NA,NA,NA,8.069,4.409,33.68,0.913,3.892,2.791,1.101,1.042,2.054,0.328,1.725,0.916,0.802,0.1
Dlg3,M01800538,WT,WT,Male,2014-08-06,MCZY,38.363,41.041,94.766,48.64,90.553,26.102,73.25,0.738,9.106,48.127,49.921,6.86,48.563,8.36,24.247,59.991,0.9,5.234,58.908,33.136,61.066,0.466,1.28,79.815,51.66,33.29,66.452,6.427,48.34,66.484,33.242,13.324,3.915,21.549,78.885,45.573,22.788,27.12,77.212,38.883,43.353,2.325,97.49,8.331,5.04,10.798,4.306,55.95,0.13,NA,NA,NA,NA,16.218,9.722,72.177,8.923,7.684,42.624,32.108,10.516,13.975,20.251,15.754,84.246,53.996,45.566,12.446,15.789,36.355,17.683,16.013,4.18,11.729,0.118,1.61,0.775,0.804,0.11,17.655,1.476,4.281,10.592,0.159,2.008,1.183,0.665,1.226,0.009,0.818,0.661,0.22,0.439,0.042,0.619,0.411,0.206,0.082,0.844,3.089,1.784,0.713,0.193,2.417,0.94,1.008,42.265,3.521,2.13,4.564,1.82,23.647,0.055,NA,NA,NA,NA,7.47,4.478,33.246,0.686,3.803,2.865,0.938,1.247,1.807,0.285,1.522,0.822,0.694,0.086
Coro6,M01794715,Coro6:Hom,Hom,Male,2014-08-11,MFZK,27.147,47.443,94.667,53.726,88.279,25.026,74.722,0.711,10.106,48.997,49.952,6.116,45.818,6.395,23.468,63.421,0.334,5.333,40.157,44.462,52.982,0.23,1.307,73.865,29.176,30.769,69.231,2.535,70.824,46.201,52.971,10.911,1.983,20.642,79.425,29.265,32.138,26.092,67.862,48.2,47.665,1.732,98.131,8.538,4.593,10.33,3.153,46.059,0.107,NA,NA,NA,NA,19.243,11.959,66.972,12.284,8.572,34.151,18.404,15.747,10.99,27.994,14.812,85.188,50.023,49.488,6.875,18.967,25.699,13.807,12.189,3.05,9.108,0.087,1.395,0.684,0.697,0.085,11.775,0.753,2.763,7.468,0.039,1.448,0.581,0.644,0.767,0.003,0.765,0.381,0.117,0.264,0.01,0.926,0.428,0.49,0.101,0.409,1.575,0.58,1.406,0.367,2.969,1.431,0.826,46.774,3.994,2.149,4.832,1.475,21.544,0.05,NA,NA,NA,NA,8.212,5.104,28.582,1.053,4.195,2.261,1.934,1.35,3.439,0.509,2.929,1.465,1.45,0.1
Erlin2,M01799786,Erlin2:Hom,Hom,Male,2014-08-11,MFKU,20.426,43.953,94.164,55.215,87.125,37.672,61.11,1.052,12.47,53.083,45.683,8.18,44.019,10.402,21.268,54.996,1.134,5.836,39.709,41.695,54.67,0.168,0.876,74.474,29.517,49.227,50.515,8.892,70.483,66.972,32.434,7.07,1.353,33.9,66.248,33.9,44.823,29.498,55.177,55.16,53.729,2.016,97.823,16.874,8.171,7.165,2.817,46.471,0.281,NA,NA,NA,NA,19.454,11.261,67.714,12.878,8.161,32.3,17.621,14.678,9.235,33.022,12.745,87.255,52.165,47.413,16.787,12.466,19.234,10.62,9.253,3.486,5.654,0.097,1.324,0.703,0.605,0.108,8.467,0.881,1.801,4.656,0.096,1.192,0.473,0.497,0.652,0.002,0.685,0.259,0.127,0.131,0.023,0.618,0.414,0.2,0.044,0.459,0.896,0.459,1.679,0.495,2.067,1.14,1.083,52.56,8.869,4.295,3.766,1.481,24.425,0.148,NA,NA,NA,NA,10.265,5.942,35.73,1.051,4.16,2.269,1.89,1.189,4.253,0.542,3.711,1.936,1.759,0.295
Il23r,M01800029,Il23r:Hom,Hom,Male,2014-08-11,MFXK,26.384,41.311,95.251,54.128,86.851,38.034,61.148,0.835,12.593,51.061,47.714,6.908,45.241,11.021,15.266,59.206,0.569,4.749,46.848,44.214,52.567,0.186,0.938,75.082,34.849,48.012,52.599,4.179,65.151,76.39,22.955,4.635,1.42,28.363,71.707,26.415,46.652,26.015,53.348,46.063,42.635,2.421,97.398,11.616,7.991,8.745,3.861,51.643,0.361,NA,NA,NA,NA,14.643,12.433,71.137,12.505,7.026,30.033,16.129,13.903,9.431,35.859,13.915,86.085,46.24,53.234,12.36,14.68,25.131,13.603,11.814,4.493,7.224,0.099,1.713,0.875,0.817,0.118,11.369,1.253,1.736,6.731,0.065,1.253,0.587,0.554,0.659,0.002,0.854,0.327,0.157,0.172,0.014,0.611,0.467,0.14,0.028,0.403,1.018,0.375,1.541,0.401,1.762,0.812,1.032,41.525,4.824,3.318,3.631,1.603,21.445,0.15,NA,NA,NA,NA,6.811,5.783,33.088,0.879,3.756,2.017,1.739,1.179,4.484,0.624,3.86,1.785,2.055,0.254
