Mouse,Genotype,Colony_Prefix,Sex,Gene_Name,period,start,Age_In_Weeks,low_survival_spotted,start_weight,weigth_min,w_d7,auc_d7,Average_Histo_Score,E_score_Histo,M_score_Histo,surv_days,pre_d10_death
M01613126,Card9:Hom,MOAA,Male,,A,2013-12-02,9,NA,NA,-0.07806691449814118,-0.029739776951672757,3.9898639947466563e-16,NA,NA,NA,10,FALSE
M01613129,Card9:Hom,MOAA,Female,,A,2013-12-02,9,NA,NA,-0.04188481675392674,-0.02094240837696346,0.010471204188481173,NA,NA,NA,10,FALSE
M01614803,Gpr152(b):Hom,MUBW,Female,Gpr152,A,2013-12-09,9.6,NA,19.7,-0.12690355329949238,-0.06598984771573609,0.06345177664974647,6,1.25,1,10,FALSE
M01615734,Pitrm1:Het,MFXT,Male,Pitrm1,A,2013-12-02,8.6,NA,27.6,-0.025362318840579812,0,0.0326086956521736,1.25,0.25,0,10,FALSE
M01615738,Pitrm1:Het,MFXT,Female,Pitrm1,A,2013-12-02,8.6,NA,21.7,-0.13364055299539165,-0.04147465437788012,0.03917050691244279,NA,NA,NA,10,FALSE
M01615739,Pitrm1:Het,MFXT,Female,Pitrm1,A,2013-12-02,8.6,NA,20.1,-0.07462686567164178,0,0.15422885572139255,NA,NA,NA,10,FALSE
M01616142,1700011A15Rik:Hom,MFUU,Male,1700011A15Rik,A,2013-12-02,9.4,NA,28.1,-0.0747330960854093,0,0.046263345195729305,5.25,0.75,0.75,10,FALSE
M01616145,1700011A15Rik:Hom,MFUU,Female,1700011A15Rik,A,2013-12-02,9.4,NA,20.3,0.0049261083743841316,0.05418719211822649,0.19950738916256133,4,0.5,0,10,FALSE
M01616149,1700011A15Rik:Hom,MFUU,Female,1700011A15Rik,A,2013-12-02,9.4,NA,21.2,-0.05660377358490563,-0.03773584905660381,0.06603773584905662,3.75,0.5,0.25,10,FALSE
M01616554,Pitrm1:Het,MFXT,Male,Pitrm1,A,2013-12-02,8,NA,27.8,-0.057553956834532426,-0.017985611510791366,0.052158273381294806,6.5,1.25,1.25,10,FALSE
M01616783,Armc7(tm1.1):Het,MUCC,Male,Armc7,A,2013-12-09,10,NA,28.2,-0.15248226950354613,-0.10283687943262407,-0.09751773049645365,NA,NA,NA,10,FALSE
M01616785,Armc7(tm1.1):Het,MUCC,Male,Armc7,A,2013-12-09,10,NA,29.3,-0.12969283276450513,-0.08873720136518776,-0.20136518771331066,6,1.5,1,10,FALSE
M01616786,Armc7(tm1.1):Het,MUCC,Female,Armc7,A,2013-12-09,10,NA,23.5,-0.1617021276595745,-0.07659574468085109,-0.15319148936170213,10.75,2.25,3,10,FALSE
M01617156,1700011A15Rik:Hom,MFUU,Male,1700011A15Rik,A,2013-12-02,8.9,NA,26,-0.06923076923076926,-0.011538461538461565,0.09807692307692317,NA,NA,NA,10,FALSE
M01617327,Gpr152(b):Hom,MUBW,Male,Gpr152,A,2013-12-09,10,NA,25.8,-0.18992248062015513,-0.08914728682170545,-0.10658914728682191,9.9,1.9,2.5,10,FALSE
M01617333,Gpr152(b):Hom,MUBW,Male,Gpr152,A,2013-12-09,10,NA,29.4,-0.19387755102040816,-0.10884353741496597,-0.17346938775510168,11,2.5,3,10,FALSE
M01617336,Gpr152(b):Hom,MUBW,Female,Gpr152,A,2013-12-09,10,NA,22.3,-0.04484304932735426,-0.03587443946188344,-0.03587443946188352,2.55,0.05,0.5,10,FALSE
M01617341,Defb22:Hom,MFXV,Male,Defb22,A,2013-12-02,8.7,NA,24.9,-0.06425702811244972,-0.02409638554216859,-0.040160642570280916,NA,NA,NA,10,FALSE
M01617342,Defb22:Hom,MFXV,Male,Defb22,A,2013-12-02,8.7,NA,27.5,-0.12727272727272726,-0.06181818181818179,0.0163636363636364,12,3,3,10,FALSE
M01617346,Defb22:Hom,MFXV,Female,Defb22,A,2013-12-02,8.7,NA,18.2,-0.0659340659340659,-0.0219780219780219,0.04945054945054996,3.5,0.5,0,10,FALSE
M01617349,Defb22:Hom,MFXV,Female,Defb22,A,2013-12-02,8.7,NA,21.6,-0.10648148148148151,-0.046296296296296294,0.023148148148147814,6.5,1.25,1.5,10,FALSE
M01619320,WT,MFZV,Male,Chst11,A,2013-12-02,9.1,NA,26.8,-0.026119402985074598,0.00373134328358201,0.09141791044776096,2.5,0.5,0.25,10,FALSE
M01619321,WT,MFZV,Male,Chst11,A,2013-12-02,9.1,NA,25.2,-0.047619047619047596,-0.03968253968253968,0.003968253968254308,3.05,0.05,0,10,FALSE
M01619323,WT,MFZV,Female,Chst11,A,2013-12-02,9.1,NA,20,-0.22999999999999998,-0.09000000000000004,-0.06500000000000013,9.25,1.75,2.25,10,FALSE
M01620264,Eci3(b):Hom,MUBM,Male,Eci3,A,2013-12-02,8.6,NA,26.8,-0.2388059701492538,-0.2388059701492538,-0.19776119402985085,12,3,3,7,TRUE
M01620268,Eci3(b):Hom,MUBM,Female,Eci3,A,2013-12-02,8.6,NA,19.9,-0.19095477386934662,-0.10552763819095468,-0.06783919597989896,NA,NA,NA,10,FALSE
M01620269,Eci3(b):Hom,MUBM,Female,Eci3,A,2013-12-02,8.6,NA,21.2,-0.16037735849056597,-0.09433962264150944,-0.07547169811320728,7.75,1.5,1.75,10,FALSE
M01620286,Eci3(b):Hom,MUBM,Male,Eci3,A,2013-12-02,8.6,NA,28.7,-0.25435540069686413,-0.25435540069686413,-0.28745644599303116,NA,NA,NA,7,TRUE
M01622609,WT,MFEE,Female,Ogdh,A,2013-12-09,8.1,NA,20.3,-0.11330049261083747,-0.03448275862068962,0.10098522167487661,6.25,1.25,1.5,10,FALSE
M01622610,WT,MFEE,Female,Ogdh,A,2013-12-09,8.1,NA,21.5,-0.1302325581395349,-0.06511627906976737,-0.023255813953488212,5.4,0.4,1,10,FALSE
M01623040,WT,MFKN,Female,Dpy30,A,2013-12-02,9.1,NA,21.4,-0.15887850467289713,-0.05607476635514016,-0.023364485981308167,6.7,0.7,1.5,10,FALSE
M01623180,Gm16515(b):Hom,MUBX,Female,Gm16515,A,2013-12-09,8.6,NA,20.1,-0.20895522388059706,-0.20895522388059706,-0.22885572139303534,8.5,1.25,2.25,7,TRUE
M01623196,Gm16515(b):Hom,MUBX,Male,Gm16515,A,2013-12-09,8.6,NA,29.2,-0.25000000000000006,-0.136986301369863,-0.2294520547945204,11,2.5,3,9,TRUE
M01623197,Gm16515(b):Hom,MUBX,Male,Gm16515,A,2013-12-09,8.6,NA,27.7,-0.2093862815884477,-0.14801444043321293,-0.08844765342960256,11.25,2.5,3,8,TRUE
M01623201,Gm16515(b):Hom,MUBX,Female,Gm16515,A,2013-12-09,8.6,NA,22.4,-0.1919642857142856,-0.13839285714285707,-0.2388392857142851,6.75,0.75,1.75,10,FALSE
M01623656,Lonrf3(b):Hemi,MUAN,Male,Lonrf3,A,2013-12-09,8.7,NA,25.8,-0.14728682170542637,-0.04263565891472874,-0.0019379844961243363,8.75,1.5,2.25,10,FALSE
M01623657,Lonrf3(b):Hemi,MUAN,Male,Lonrf3,A,2013-12-09,8.7,NA,28.1,-0.10676156583629892,-0.03558718861209964,0.035587188612099266,8.649999999999999,1.15,2.5,10,FALSE
M01623659,Lonrf3(b):Hom,MUAN,Female,Lonrf3,A,2013-12-09,8.7,NA,20.1,-0.23383084577114432,-0.18905472636815923,-0.32835820895522455,8.5,1.5,2.25,8,TRUE
M01623660,Lonrf3(b):Hom,MUAN,Female,Lonrf3,A,2013-12-09,8.7,NA,21.3,-0.21596244131455405,-0.14553990610328646,-0.1901408450704229,8.25,1.25,2.25,8,TRUE
M01625539,Card9:Hom,MGZX,Male,,A,2013-12-02,7.9,NA,NA,-0.035573122529644355,-0.019762845849802372,-0.017786561264822247,NA,NA,NA,10,FALSE
M01625541,Card9:Hom,MGZX,Female,,A,2013-12-02,7.9,NA,NA,-0.055555555555555684,-0.046296296296296294,-0.2731481481481487,NA,NA,NA,10,FALSE
M01625653,WT,MUCC,Male,Armc7,A,2013-12-09,9.1,NA,26.8,-0.03358208955223888,0.00373134328358201,0.09514925373134298,5,1,0.5,10,FALSE
M01625654,WT,MUCC,Male,Armc7,A,2013-12-09,9.1,NA,28.8,-0.06944444444444445,-0.02083333333333338,0.034722222222221974,10,1.5,3,10,FALSE
M01625656,Armc7(tm1.1):Het,MUCC,Female,Armc7,A,2013-12-09,9.1,NA,21.1,-0.06635071090047404,-0.03791469194312799,-0.023696682464455394,9.75,2,2.75,10,FALSE
M01625657,WT,MUCC,Female,Armc7,A,2013-12-09,9.1,NA,23.7,-0.04641350210970455,-0.016877637130801627,-0.029535864978902773,4.5,0.5,0,10,FALSE
M01625658,WT,MUCC,Female,Armc7,A,2013-12-09,9.1,NA,22.5,-0.08444444444444438,-0.048888888888888954,-0.06888888888888876,4.75,1,0.75,10,FALSE
M01626790,Myo10:Hom,DAAL,Male,Myo10,A,2013-12-09,8.3,NA,NA,-0.1628787878787878,NA,NA,NA,NA,NA,6,TRUE
M01626791,Myo10:Hom,MFQX,Female,Myo10,A,2013-12-09,8.3,NA,19.4,-0.21649484536082472,-0.14432989690721637,-0.1494845360824738,8.2,1.2,2,8,TRUE
M01626795,Myo10:Hom,MUHJ,Male,Myo10,A,2013-12-09,8.7,NA,NA,-0.15969581749049427,NA,NA,NA,NA,NA,6,TRUE
M01626796,Myo10:Hom,MFQX,Female,Myo10,A,2013-12-09,8.7,NA,20.5,-0.1902439024390243,-0.10243902439024397,-0.12926829268292694,10.2,2.2,2.5,10,FALSE
M01628928,WT,CBLT,Male,,A,2013-12-02,7.7,NA,18.6,0.0053763440860213904,0.03225806451612891,0.3333333333333328,9.25,1.75,2.25,10,FALSE
M01628929,WT,CBLT,Male,,A,2013-12-02,7.7,NA,19.5,0.030769230769230844,0.04102564102564106,0.523076923076923,5.5,1,0.75,10,FALSE
M01629152,WT,CBLT,Female,,A,2013-12-02,7.7,NA,24.9,-0.2570281124497992,-0.040160642570281124,0.04417670682730972,6.25,1,1.25,10,TRUE
M01629153,WT,CBLT,Female,,A,2013-12-02,7.7,NA,23.6,-0.11864406779661019,-0.00847457627118656,0.11016949152542332,8.100000000000001,1.1,2,10,FALSE
M01629922,Cnbd1(b):Hom,MUAY,Male,Cnbd1,A,2013-12-09,8,NA,23.8,-0.021008403361344536,-0.004201680672268967,0.014705882352940937,0,0,0,10,FALSE
M01629923,Cnbd1(b):Hom,MUAY,Male,Cnbd1,A,2013-12-09,8,NA,23.7,0.016877637130801777,0.04219409282700422,0.30379746835443056,2.5,0.25,0.25,10,FALSE
M01629924,Cnbd1(b):Hom,MUAY,Female,Cnbd1,A,2013-12-09,8,NA,21,-0.047619047619047616,-0.01428571428571432,0.12619047619047602,3.5,0.75,0.25,10,FALSE
M01629925,Cnbd1(b):Hom,MUAY,Female,Cnbd1,A,2013-12-09,8,NA,20.9,-0.004784688995215209,0.019138755980861347,0.13397129186602935,3.5,0.5,0,10,FALSE
M01632421,Pepd:Hom,MFPW,Male,Pepd,A,2014-01-06,11.6,NA,24.2,-0.23966942148760334,-0.07851239669421482,-0.05165289256198332,7.5,1,1.5,9,TRUE
M01632423,Pepd:Hom,MFPW,Female,Pepd,A,2014-01-06,11.6,NA,19.1,-0.1780104712041886,-0.1256544502617802,-0.05759162303664975,NA,NA,NA,9,TRUE
M01632445,Pepd:Hom,MFPW,Female,Pepd,A,2014-01-06,11,NA,19.4,-0.2886597938144329,-0.15463917525773196,-0.14432989690721618,9.25,1.5,2.75,8,TRUE
M01633429,Polr3f:Het,MFVN,Female,Polr3f,A,2014-01-06,11,NA,23.1,-0.08225108225108234,-0.017316017316017406,0.13419913419913387,10.5,2,3,10,FALSE
M01633430,Polr3f:Het,MFVN,Female,Polr3f,A,2014-01-06,11,NA,22.2,-0.04954954954954945,-0.02702702702702693,-0.058558558558558356,4.5,0.75,0.25,10,FALSE
M01633820,Alox12e(b):Hom,MUCA,Male,Alox12e,A,2013-12-09,7.9,NA,24.6,-0.0162601626016261,0.0284552845528455,0.13211382113821102,3.25,0.75,0.25,10,FALSE
M01633823,Alox12e(b):Hom,MUCA,Male,Alox12e,A,2013-12-09,7.9,NA,23.5,-0.03829787234042547,0,0.059574468085106316,5.25,1.25,0.5,10,FALSE
M01633830,Alox12e(b):Hom,MUCA,Female,Alox12e,A,2013-12-09,7.9,NA,21.5,-0.06976744186046512,0.009302325581395316,0.10232558139534889,4,0.5,0,10,FALSE
M01633831,Alox12e(b):Hom,MUCA,Female,Alox12e,A,2013-12-09,7.9,NA,18.8,-0.05319148936170213,0.010638297872340387,0.14361702127659579,4,0.5,0.25,10,FALSE
M01633920,Dbn1(b):Het,MUCL,Male,Dbn1,A,2014-01-06,11.1,NA,33.6,-0.15773809523809526,-0.12500000000000008,-0.2946428571428573,7.5,1.5,1,10,FALSE
M01633922,Dbn1(b):Het,MUCL,Female,Dbn1,A,2014-01-06,11.1,NA,21.8,-0.12385321100917428,-0.04128440366972487,-0.006880733944954476,8.95,1.45,2,10,FALSE
M01633956,Dbn1(b):Het,MUCL,Male,Dbn1,A,2014-01-06,11,NA,25.8,-0.24418604651162792,-0.24418604651162792,-0.8391472868217056,3.75,0.25,0.5,7,TRUE
M01633961,Dbn1(b):Het,MUCL,Female,Dbn1,A,2014-01-06,11,NA,20.9,-0.14354066985645933,-0.09090909090909084,0.0837320574162683,5.75,0.75,1,10,FALSE
M01634644,Krt7(b):Hom,MUCU,Male,Krt7,A,2014-01-06,11.3,NA,33.4,-0.06586826347305387,-0.023952095808383148,-0.032934131736526776,8.75,1.75,2,10,FALSE
M01634645,Krt7(b):Hom,MUCU,Male,Krt7,A,2014-01-06,11.3,NA,30.5,-0.05245901639344267,-0.0032786885245902103,0.05737704918032787,7.5,1.5,1.5,10,FALSE
M01634647,Krt7(b):Hom,MUCU,Female,Krt7,A,2014-01-06,11.3,NA,20.4,-0.014705882352941037,0.009803921568627591,0.13725490196078488,6.75,1.25,1.5,10,FALSE
M01634650,Krt7(b):Hom,MUCU,Female,Krt7,A,2014-01-06,11.3,NA,24.4,-0.020491803278688527,-0.020491803278688527,0.0758196721311479,4.5,0.5,0.5,10,FALSE
M01634664,WT,MFRT,Male,Mrm1,A,2013-12-09,8,NA,24.1,-0.1701244813278009,-0.07468879668049795,0.06639004149377561,7.45,0.95,1.5,10,FALSE
M01634668,WT,MFRT,Male,Mrm1,A,2013-12-09,8,NA,25.5,-0.11764705882352941,-0.08627450980392154,-0.11372549019607844,5.75,0.75,1,10,FALSE
M01635114,Xpnpep1:Het,MFHU,Female,Xpnpep1,A,2014-01-06,11.7,NA,24.4,-0.05327868852459005,-0.05327868852459005,0.0020491803278693196,6.25,1.25,1,10,FALSE
M01635116,Xpnpep1:Het,MFHU,Male,Xpnpep1,A,2014-01-06,11,NA,30,-0.11000000000000003,-0.05333333333333338,-0.04333333333333324,7.449999999999999,1.4500000000000002,1.5,10,FALSE
M01635117,Xpnpep1:Het,MFHU,Male,Xpnpep1,A,2014-01-06,11,NA,30.9,-0.07443365695792871,-0.042071197411003146,0.08252427184466045,1.5,0,0,10,FALSE
M01635118,Xpnpep1:Het,MFHU,Female,Xpnpep1,A,2014-01-06,11,NA,21.6,-0.1111111111111112,0.0046296296296295305,0.11805555555555533,8.850000000000001,1.35,2,10,FALSE
M01636830,Card9:Hom,MFVJ,Female,Card9,A,2014-01-06,11,NA,22.6,-0.15486725663716813,-0.0353982300884956,0.01769911504424749,9.85,1.85,2.5,10,FALSE
M01637631,Adcy2:Hom,MDZW,Female,Adcy2,A,2013-12-09,7.9,NA,18.5,-0.02702702702702703,-0.005405405405405482,0.06216216216216208,1.25,0.25,0,10,FALSE
M01637633,Adcy2:Hom,MDZW,Female,Adcy2,A,2013-12-09,7.9,NA,20.1,-0.06467661691542291,-0.004975124378109523,0.08208955223880554,5,1,1.5,10,FALSE
M01637643,Adcy2:Hom,MDZW,Male,Adcy2,A,2013-12-09,7.7,NA,23.9,-0.08786610878661079,-0.012552301255230007,0.03138075313807576,12,3,3,10,FALSE
M01637645,Adcy2:Hom,MDZW,Male,Adcy2,A,2013-12-09,7.7,NA,23.6,-0.13559322033898316,-0.05932203389830517,-0.0381355932203393,6.5,1.25,1.25,10,FALSE
M01640320,WT,MFYJ,Male,Wdtc1,A,2014-01-06,11,NA,29.5,-0.061016949152542396,0.02372881355932201,0.10677966101694905,7.25,1.5,1.5,10,FALSE
M01640321,WT,MFYJ,Male,Wdtc1,A,2014-01-06,11,NA,28.9,-0.051903114186851215,0.024221453287197332,0.17474048442906615,5.6,0.6000000000000001,1,10,FALSE
M01640322,WT,MFYJ,Female,Wdtc1,A,2014-01-06,11,NA,22.1,-0.036199095022624465,0,0.13574660633484129,6.55,0.55,2,10,FALSE
M01640323,WT,MFYJ,Female,Wdtc1,A,2014-01-06,11,NA,25,-0.07200000000000002,-0.027999999999999973,-0.017999999999999905,6.25,1.5,1.5,10,FALSE
M01640624,WT,CBLT,Female,,A,2013-12-09,8.4,NA,19.9,-0.030150753768844116,0.02512562814070352,0.288944723618091,5,1,0.5,10,FALSE
M01640625,WT,CBLT,Female,,A,2013-12-09,8.4,NA,19.3,-0.15025906735751307,-0.05699481865284981,0.09067357512953368,5.65,0.65,1.5,10,FALSE
M01640923,Polr3f:Het,MFVN,Male,Polr3f,A,2014-01-06,9.9,NA,26.3,-0.17490494296577952,-0.057034220532319393,0.009505703422053093,9.25,2.25,2.25,10,FALSE
M01640926,Polr3f:Het,MFVN,Male,Polr3f,A,2014-01-06,9.9,NA,30.4,-0.09868421052631579,-0.04276315789473675,-0.02138157894736814,11.5,2.5,3,10,FALSE
M01641074,Lce3c:Hom,MFVV,Female,Lce3c,A,2014-01-06,9.6,NA,21.7,-0.1797235023041474,-0.04608294930875576,0.06451612903225834,4.25,0.5,0.25,10,FALSE
M01641445,L3mbtl2:Het,MFPQ,Male,L3mbtl2,A,2014-01-06,9.4,NA,25.9,-0.12355212355212353,-0.04247104247104239,0.036679536679537134,9.25,2,2.25,10,FALSE
M01641448,L3mbtl2:Het,MFPQ,Female,L3mbtl2,A,2014-01-06,9.4,NA,22.7,-0.061674008810572625,-0.004405286343612241,-0.011013215859030602,4.5,0.75,0.5,10,FALSE
M01641816,Kif1bp:Het,MGCY,Female,Kif1bp,A,2014-01-13,10,NA,26.4,-0.20075757575757566,-0.13257575757575757,-0.20075757575757552,7.25,1.25,1.75,10,FALSE
M01644280,WT,MFUV,Male,Pth1r,A,2014-01-13,9.9,NA,29.9,-0.056856187290969876,-0.04013377926421403,0.09531772575250871,4.5,0.75,0.25,10,FALSE
M01644281,WT,MFUV,Male,Pth1r,A,2014-01-13,9.9,NA,26.6,-0.09398496240601503,-0.04135338345864667,0.06203007518796947,11,2.5,3,10,FALSE
M01644282,WT,MFUV,Female,Pth1r,A,2014-01-13,9.9,NA,26.8,-0.12313432835820898,-0.11940298507462684,-0.32835820895522394,5.75,1,1.5,10,FALSE
M01644422,WT,CBLT,Female,,A,2013-12-09,6.3,NA,16.4,0.012195121951219686,0.030487804878048783,0.36890243902439085,5,1,0.5,10,FALSE
M01645590,WT,MGCJ,Male,Atxn10,A,2014-01-06,10.1,NA,28.3,-0.12367491166077738,-0.04240282685512365,-0.014134275618374697,7.75,1.75,1.5,10,FALSE
M01645591,WT,MGCJ,Male,Atxn10,A,2014-01-06,10.1,NA,30.5,-0.15737704918032788,-0.06229508196721307,-0.02786885245901644,9.75,2,2.5,10,FALSE
M01645594,WT,MGCJ,Female,Atxn10,A,2014-01-06,10.1,NA,22.4,-0.11607142857142848,-0.044642857142857144,-0.07589285714285679,8.5,1.5,2,10,FALSE
M01645595,WT,MGCJ,Female,Atxn10,A,2014-01-06,10.1,NA,26,-0.09615384615384616,-0.042307692307692366,-0.11730769230769234,9.25,1.75,2.5,10,FALSE
M01645766,WT,CBLT,Female,,A,2013-12-09,6.3,NA,15.8,-0.06962025316455706,0.03797468354430366,0.411392405063291,6,0.75,1.25,10,FALSE
M01646086,Mast2:Hom,MFRU,Male,Mast2,A,2014-01-06,9.9,NA,26.7,-0.011235955056179803,0.0037453183520599785,0.009363295880150078,3,0.5,0.25,10,FALSE
M01646089,Mast2:Hom,MFRU,Male,Mast2,A,2014-01-06,9.9,NA,28.4,-0.08098591549295765,-0.028169014084506942,-0.08450704225352071,5.5,0.75,0.75,10,FALSE
M01646120,Mast2:Hom,MFRU,Female,Mast2,A,2014-01-06,10,NA,21.3,-0.1314553990610329,-0.08450704225352115,-0.21126760563380292,6.5,1,1.5,10,FALSE
M01646121,Mast2:Hom,MFRU,Female,Mast2,A,2014-01-06,10,NA,22.9,-0.09170305676855886,-0.03056768558951962,0.019650655021834575,8.8,1.2999999999999998,2.5,10,FALSE
M01646556,WT,CBLT,Male,,A,2013-12-09,6.7,NA,23.6,-0.04661016949152548,0.029661016949152512,0.24364406779660977,5.5,1.25,0.5,10,FALSE
M01646557,WT,CBLT,Male,,A,2013-12-09,6.7,NA,23,-0.043478260869565216,0.030434782608695622,0.22826086956521724,4.25,0.75,0.25,10,FALSE
M01646633,WT,CBLT,Male,,A,2013-12-09,8,NA,23.9,-0.041841004184100423,0.025104602510460313,0.24267782426778278,6,1.25,0.5,10,FALSE
M01646634,WT,CBLT,Male,,A,2013-12-09,8,NA,24,-0.008333333333333304,0.04583333333333339,0.3354166666666666,6.199999999999999,0.7000000000000001,1,10,FALSE
M01646797,Aldh3b1(b):Hom,MUBT,Male,Aldh3b1,A,2014-01-13,9.9,NA,29.1,-0.10652920962199317,0.0034364261168384146,0.018900343642611395,5,0.75,0.5,10,FALSE
M01646798,Aldh3b1(b):Hom,MUBT,Male,Aldh3b1,A,2014-01-13,9.9,NA,26.6,-0.10150375939849635,0.022556390977443528,0.08270676691729273,7.75,1.75,1.5,10,FALSE
M01646801,Aldh3b1(b):Hom,MUBT,Female,Aldh3b1,A,2014-01-13,9.9,NA,23.6,-0.01271186440677969,0.08050847457627112,0.30084745762711823,3,0,0,10,FALSE
M01646804,Aldh3b1(b):Hom,MUBT,Female,Aldh3b1,A,2014-01-13,9.9,NA,24.8,-0.15725806451612911,-0.028225806451612875,-0.1754032258064519,5.45,0.45,1,10,FALSE
M01646989,Card9:Hom,MFVJ,Male,Card9,A,2014-01-06,10.1,NA,31,-0.10967741935483867,-0.02580645161290325,-0.032258064516129205,10.35,2.35,2.5,10,FALSE
M01647005,Card9:Hom,MFVJ,Male,Card9,A,2014-01-06,9.7,NA,27.8,-0.16906474820143882,-0.0503597122302159,0.0071942446043163286,10.3,2.3,2.5,10,FALSE
M01647010,Card9:Hom,MFVJ,Female,Card9,A,2014-01-06,9.7,NA,22.8,-0.1578947368421053,-0.0701754385964913,-0.15789473684210548,11.25,2.25,3,10,FALSE
M01647816,Kif1bp:Het,MGCY,Male,Kif1bp,A,2014-01-13,9.7,NA,24.7,-0.14574898785425092,-0.08502024291497967,-0.1336032388663964,10.75,2.5,2.75,10,FALSE
M01647818,Kif1bp:Het,MGCY,Male,Kif1bp,A,2014-01-13,9.7,NA,30.3,-0.09570957095709577,-0.05940594059405943,-0.05445544554455464,4.75,0.75,0.25,10,FALSE
M01647819,Kif1bp:Het,MGCY,Female,Kif1bp,A,2014-01-13,9.7,NA,20.5,-0.17073170731707318,-0.05853658536585363,-0.014634146341463539,5.5,1,0.5,9,TRUE
M01649578,Ctr9(b):Het,MUAZ,Male,Ctr9,A,2014-01-13,9,NA,28.6,-0.20629370629370636,-0.02097902097902103,0.03146853146853129,9.5,1.5,3,8,TRUE
M01649721,WT,MFUV,Female,Pth1r,A,2014-01-13,10.1,NA,21.7,-0.14285714285714277,-0.08755760368663588,-0.21889400921658952,8.5,1.75,2,10,FALSE
M01650358,WT,CBLT,Female,,A,2014-01-06,9.7,NA,25.5,-0.047058823529411736,-0.007843137254901933,-0.06666666666666671,3.5,0.5,0,10,FALSE
M01650359,WT,CBLT,Female,,A,2014-01-06,9.7,NA,24.7,-0.024291497975708416,0.016194331983805755,0.08906882591093138,5.5,1,0.75,10,FALSE
M01650365,WT,CBLT,Male,,A,2014-01-06,9.7,NA,28.5,0.007017543859649098,0.03508771929824561,0.14385964912280694,2.65,0.15,0.5,10,FALSE
M01650366,WT,CBLT,Male,,A,2014-01-06,9.7,NA,23.7,-0.03375527426160341,-0.03375527426160341,0.03375527426160378,1,0,0,10,FALSE
M01653569,L3mbtl2:Het,MFPQ,Male,L3mbtl2,A,2014-01-06,9.3,NA,27.4,-0.22992700729927,-0.11313868613138679,-0.2682481751824815,8.75,1.5,2.25,9,TRUE
M01653571,L3mbtl2:Het,MFPQ,Female,L3mbtl2,A,2014-01-06,9.3,NA,19.9,-0.020100502512562745,0.005025125628140776,0.12814070351758816,7.449999999999999,0.9500000000000001,1.5,10,FALSE
M01654344,Klf17(b):Hom,MUBV,Female,Klf17,A,2014-01-20,10,NA,24.1,-0.12863070539419091,-0.03734439834024905,0.10995850622406594,5.75,1.25,0.75,10,FALSE
M01654346,Klf17(b):Hom,MUBV,Female,Klf17,A,2014-01-20,10,NA,22.1,0.013574660633484033,0.013574660633484033,0.38235294117647,4.75,1,0.5,10,FALSE
M01655185,Lce3c:Hom,MFVV,Male,Lce3c,A,2014-01-06,9.6,NA,30.2,-0.08940397350993376,-0.029801324503311213,-0.1274834437086091,7.3500000000000005,0.8500000000000001,2,10,FALSE
M01655186,Lce3c:Hom,MFVV,Male,Lce3c,A,2014-01-06,9.6,NA,28.7,-0.05226480836236934,0.013937282229965231,0.027874564459930522,10,2.5,2.5,10,FALSE
M01655188,Lce3c:Hom,MFVV,Female,Lce3c,A,2014-01-06,9.6,NA,22.4,-0.09374999999999992,-0.02678571428571419,2.393918396847994e-16,8.5,1.25,2.25,10,FALSE
M01658059,WT,MUBC,Female,Wnt16,A,2014-01-13,9,NA,22.5,-0.12444444444444448,-0.02666666666666673,-0.03333333333333349,7.5,1,1.5,10,FALSE
M01658088,WT,MUBC,Male,Wnt16,A,2014-01-13,9,NA,26.2,-0.06106870229007626,-0.034351145038167885,-0.09351145038167916,1.5,0,0,10,FALSE
M01658089,WT,MUBC,Male,Wnt16,A,2014-01-13,9,NA,26.3,-0.057034220532319393,-0.04562737642585549,0.011406844106463768,5.25,0.75,0.75,10,FALSE
M01658095,WT,MUBC,Female,Wnt16,A,2014-01-13,9,NA,20.4,-0.004901960784313621,0.009803921568627591,0.13970588235294168,3.5,0.5,0.25,10,FALSE
M01658841,Fbxw26(b):Hom,MUBR,Male,Fbxw26,A,2014-01-13,9.7,NA,28.7,-0.09059233449477344,-0.027874564459930338,-0.010452961672473768,4.7,0.2,0.5,10,FALSE
M01658842,Fbxw26(b):Hom,MUBR,Male,Fbxw26,A,2014-01-13,9.7,NA,27.3,-0.13919413919413923,-0.040293040293040344,0.031135531135530865,6.5,1,1,10,FALSE
M01658843,Fbxw26(b):Hom,MUBR,Female,Fbxw26,A,2014-01-13,9.7,NA,21.1,-0.13744075829383895,-0.03791469194312799,-0.05687203791469258,3.85,0.35,0.5,10,FALSE
M01658844,Fbxw26(b):Hom,MUBR,Female,Fbxw26,A,2014-01-13,9.7,NA,21.7,-0.05529953917050688,0.02304147465437788,0.24193548387096808,4,0.5,0,10,FALSE
M01659566,Sgms1:Hom,MEBK,Female,Sgms1,A,2014-01-13,8.7,NA,19.6,-0.14285714285714288,-0.04591836734693888,0.11479591836734639,9,1.75,2.25,10,FALSE
M01659569,Sgms1:Hom,MEBK,Male,Sgms1,A,2014-01-13,8.7,NA,22.9,-0.017467248908296883,0.008733624454148596,0.16593886462882168,4.75,0.75,0.5,10,FALSE
M01659571,Sgms1:Hom,MEBK,Male,Sgms1,A,2014-01-13,8.7,NA,22.2,0.013513513513513545,0.0315315315315315,0.25900900900900936,5.85,0.35,1,10,FALSE
