Mouse,Genotype,Colony_Prefix,Sex,Gene_Name,period,start,Age_In_Weeks,low_survival_spotted,start_weight,weigth_min,w_d7,auc_d7,Average_Histo_Score,E_score_Histo,M_score_Histo,surv_days,pre_d10_death
M02439182,WT,CBSC,Female,,C,2016-07-04,6.4,NA,18.3,-0.08743169398907111,-0.005464480874317017,0.04098360655737685,7.75,1.25,2,10,FALSE
M02439183,WT,CBSC,Female,,C,2016-07-04,6.4,NA,19.4,-0.10309278350515465,-0.025773195876288662,-0.03865979381443244,8.5,1.5,2,10,FALSE
M02439185,WT,CBSC,Female,,C,2016-07-04,6.4,NA,19.5,-0.1282051282051282,-0.05128205128205128,-0.05641025641025648,5.65,0.15,1,10,FALSE
M02439186,WT,CBSC,Female,,C,2016-07-04,6.4,NA,19.3,-0.07772020725388601,-0.031088082901554476,0.010362694300517913,5.25,1.25,0.5,10,FALSE
M02439191,Tlr11:Hom,DACS,Female,Tlr11,C,2016-07-18,7.6,NA,19.1,-0.0628272251308902,-0.026178010471204185,-0.018324607329843375,8,1,2,10,FALSE
M02439194,Tlr11:Hom,DACS,Female,Tlr11,C,2016-07-18,7.6,NA,20.1,-0.2139303482587065,-0.12437810945273631,-0.13184079601990076,9.5,2,2.5,10,FALSE
M02439201,Tlr11:Hom,DACS,Female,Tlr11,C,2016-07-18,7.6,NA,19.9,-0.11055276381909546,-0.03517587939698489,-0.04271356783919561,10.75,2.75,2.5,10,FALSE
M02439203,Tlr11:Hom,DACS,Female,Tlr11,C,2016-07-18,7.6,NA,21.7,-0.06451612903225801,-0.05069124423963124,-0.12211981566820262,8.75,1.25,2.5,10,FALSE
M02442038,WT,CBSC,Female,,C,2016-07-18,7,NA,19.9,-0.02512562814070352,0.020100502512562922,0.10050251256281452,6.25,0.75,1.5,10,FALSE
M02443448,Auts2:Het,DADL,Female,Auts2,C,2016-07-25,7.9,NA,18.2,-0.11538461538461527,-0.01098901098901095,0.04395604395604429,9,2,2,10,FALSE
M02443449,Auts2:Het,DADL,Female,Auts2,C,2016-07-25,7.9,NA,17.7,-0.05649717514124294,0.011299435028248548,0.16384180790960495,8.9,1.4,2,10,FALSE
M02443773,Tsks:Hom,DACX,Female,Tsks,C,2016-07-25,7.1,NA,20.3,-0.009852216748768438,0.02463054187192118,0.07635467980295553,3.5,0.5,0.5,10,FALSE
M02443782,Tsks:Hom,DACX,Female,Tsks,C,2016-07-25,6.7,NA,19,-0.03684210526315786,0.015789473684210565,0.08684210526315811,5.25,0.75,1.5,10,FALSE
M02443840,Tlr12:Hom,DACA,Female,Tlr12,C,2016-07-18,6.7,NA,17.4,-0.04022988505747123,0.011494252873563383,0.10344827586206942,4.25,0.25,0.5,10,FALSE
M02443876,Gm5083:Hom,DACD,Female,Gm5083,C,2016-08-08,8.7,NA,20.5,-0.21951219512195122,-0.11219512195121954,-0.14390243902439045,6.5,1,1.5,9,TRUE
M02444242,Cd96:Hom,DAEH,Female,Cd96,C,2016-08-01,7.9,NA,23.2,-0.14655172413793097,-0.09051724137931026,-0.3857758620689653,8.75,1.25,2,10,FALSE
M02444564,Cntn6:Hom,DACP,Female,Cntn6,C,2016-07-18,6.9,NA,18.3,-0.14754098360655743,-0.005464480874317017,0.3360655737704915,6.25,0.75,1,10,FALSE
M02444565,Cntn6:Hom,DACP,Female,Cntn6,C,2016-07-18,6.9,NA,17.5,-0.045714285714285756,0,0.2057142857142856,7.85,0.85,2,10,FALSE
M02446846,Il17re(b):Hom,PMDB,Female,Il17re,C,2016-07-25,7.6,NA,20.9,-0.2296650717703348,-0.10526315789473681,-0.11483253588516713,8.5,1.5,2,10,FALSE
M02446847,Il17re(b):Hom,PMDB,Female,Il17re,C,2016-07-25,7.6,NA,17.5,-0.1028571428571429,0.02857142857142857,0.2885714285714284,8.15,1.65,1.5,10,FALSE
M02446848,Il17re(b):Hom,PMDB,Female,Il17re,C,2016-07-25,7.6,NA,19.1,-0.21989528795811522,-0.1204188481675393,-0.07591623036649257,11.75,2.75,3,10,FALSE
M02446849,Il17re(b):Hom,PMDB,Female,Il17re,C,2016-07-25,7.6,NA,20.9,-0.08133971291866025,-0.028708133971291766,0.13397129186602919,8.5,1.5,2,10,FALSE
M02447468,Tsks:Hom,DACX,Female,Tsks,C,2016-07-25,6.6,NA,18.7,0,0.026737967914438502,0.25935828877005357,7.25,1.25,1.5,10,FALSE
M02447470,Tsks:Hom,DACX,Female,Tsks,C,2016-07-25,6.6,NA,16.3,0.006134969325153243,0.04294478527607357,0.2730061349693248,11.25,2.25,3,10,FALSE
M02449169,Auts2:Het,DADL,Female,Auts2,C,2016-07-25,6.7,NA,18.2,-0.0879120879120878,-0.0219780219780219,0.07692307692307723,11.25,2.25,3,10,FALSE
M02449171,Auts2:Het,DADL,Female,Auts2,C,2016-07-25,6.7,NA,18.5,-0.0378378378378378,-0.016216216216216255,0.10000000000000037,4.45,0.44999999999999996,0.5,10,FALSE
M02449455,WT,CBSC,Female,,C,2016-07-25,7,NA,18.6,-0.05376344086021505,0.03225806451612891,0.2204301075268811,5.95,0.44999999999999996,1,10,FALSE
M02449456,WT,CBSC,Female,,C,2016-07-25,7,NA,19.4,-0.03608247422680409,0.010309278350515611,0.21134020618556748,5.75,0.75,0.5,10,FALSE
M02449457,WT,CBSC,Female,,C,2016-07-25,7,NA,19.6,-0.015306122448979626,0.020408163265306048,0.2244897959183667,4.25,0.25,0.5,10,FALSE
M02449458,WT,CBSC,Female,,C,2016-07-25,7,NA,16.5,-0.012121212121212078,0.0060606060606061465,0.26363636363636367,6.5,1,1,10,FALSE
M02451614,Gm5083:Hom,DACD,Female,Gm5083,C,2016-08-08,8.3,NA,21.7,-0.26728110599078336,-0.2027649769585253,-0.24884792626728106,11,2,3,8,TRUE
M02452007,Cd96:Hom,DAEH,Female,Cd96,C,2016-08-01,7.1,NA,19.4,-0.17525773195876282,-0.11340206185567007,-0.05670103092783486,10.25,2.25,2.5,10,FALSE
M02452008,Cd96:Hom,DAEH,Female,Cd96,C,2016-08-01,7.1,NA,21.2,-0.1179245283018868,-0.08018867924528299,-0.011792452830188595,10.5,2.5,2.5,10,FALSE
M02453018,Irgm1:Hom,DADB,Female,Irgm1,C,2016-08-08,7.6,NA,17.4,-0.13218390804597696,0.01724137931034487,0.19827586206896602,7.35,0.85,1.5,10,FALSE
M02453046,Med19:Het,MHBB,Female,Med19,C,2016-07-25,7,NA,20.5,-0.0975609756097561,-0.05365853658536592,0.10975609756097561,3.75,0.25,0.5,10,FALSE
M02453049,Med19:Het,MHBB,Female,Med19,C,2016-07-25,7,NA,20.3,-0.009852216748768438,0.0049261083743841316,0.20935960591132963,1.75,0.25,0,10,FALSE
M02453050,Med19:Het,MHBB,Female,Med19,C,2016-07-25,7,NA,20.8,-0.139423076923077,-0.014423076923076957,0.16586538461538414,9.5,2,2,10,FALSE
M02453051,Med19:Het,MHBB,Female,Med19,C,2016-07-25,7,NA,20.4,-0.019607843137254832,-0.014705882352941037,0.17892156862745145,3.25,0.25,0,10,FALSE
M02453069,Crim1:Het,DABE,Female,Crim1,C,2016-08-01,6.4,NA,17.6,0.03409090909090897,0.16477272727272718,0.3892045454545449,4.25,0.25,0,10,FALSE
M02453070,Crim1:Het,DABE,Female,Crim1,C,2016-08-01,6.4,NA,19.4,-0.005154639175257623,0.0463917525773197,0.16237113402061912,5.5,1,0.5,10,FALSE
M02453072,Crim1:Het,DABE,Female,Crim1,C,2016-08-01,6.4,NA,19.3,0.010362694300518097,0.025906735751295335,0.14766839378238328,7.25,1.25,1.5,10,FALSE
M02453073,Crim1:Het,DABE,Female,Crim1,C,2016-08-01,6.4,NA,18.2,-0.027472527472527472,-0.005494505494505378,-0.05219780219780206,4.15,0.15,0,10,FALSE
M02454938,WT,CBSC,Female,,C,2016-08-08,6.9,NA,19.6,-0.1020408163265306,-0.03571428571428586,0.053571428571428055,5,0.5,0.5,10,FALSE
M02454939,WT,CBSC,Female,,C,2016-08-08,6.9,NA,17.2,-0.10465116279069761,-0.03488372093023243,0.12790697674418633,8.15,1.15,2,10,FALSE
M02454940,WT,CBSC,Female,,C,2016-08-08,6.9,NA,21.1,-0.06635071090047404,0.02843601895734587,0.22274881516587647,8.25,1.25,2,10,FALSE
