Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Vg5plus_Dendritic_epidermal_T_cell_xDETCx_count,CD45plus_Vg5minus_MHC_IIminus_cell_count,Count_of_Vg5plus_DETC_contacting_LC,Count_of_Vg5plus_DETC_not_contacting_LC,Langerhans_cell_xLCx_count,Vg5plus_DETC_to_LC,contacting_to_not_contacting_Vg5plus_DETC,CD45plus_Vg5minus_MHC_IIminus_cells_to_Vg5plus_DETC,Average_volume_of_Vg5plus_DETC,Average_volume_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_volume_of_Vg5plus_DETC_contacting_LC,Average_volume_of_Vg5plus_DETC_not_contacting_LC,Average_volume_of_LC,Average_roundness_of_Vg5plus_DETC,Average_roundness_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_roundness_of_Vg5plus_DETC_contacting_LC,Average_roundness_of_Vg5plus_DETC_not_contacting_LC,Average_roundness_of_LC,Average_no_of_branches_on_Vg5plus_DETC,Average_no_of_branches_on_Vg5plus_DETC_contacting_LC,Average_no_of_branches_on_Vg5plus_DETC_not_contacting_LC,Average_no_of_branches_on_LC,Average_branch_length_of_Vg5plus_DETC,Average_branch_length_of_Vg5plus_DETC_contacting_LC,Average_branch_length_of_Vg5plus_DETC_not_contacting_LC,Average_branch_length_of_LC
Krt31,M01778566,Krt31:Hom,Hom,Female,2014-07-10,MFSN,135.7,0.3,99,36.7,94.3,1.45,3.29,0,13317.67,8820,13892.67,10112.33,10997.33,2.54,3.29,2.55,2.48,2.62,3.68,4.17,3.12,4.99,15.17,13.72,15.04,12.88
Gimap6,M01772919,Gimap6:Hom,Hom,Male,2014-07-10,MFYM,77.3,4,52.7,24.7,81.7,0.93,2.37,0.08,7549.5,6674.33,8069.33,5948.67,8932.33,2.59,2.69,2.69,2.53,2.71,2.43,2.62,2.06,4.05,14.58,12.58,13.89,13.56
Gmnc,M01774497,Gmnc(b):Het,Het,Male,2014-07-10,MUCY,47.3,4,19.7,27.7,59.3,0.96,0.65,0.27,10708.33,8286.33,12038.33,9710.67,12721.5,2.33,2.38,2.37,2.28,2.65,2.84,2.9,2.73,4.78,14.62,14.6,14.44,13.33
Evi5,M01769023,Evi5:Hom,Hom,Male,2014-07-08,MFZM,53,7.7,35.7,17.3,91.3,0.45,1.96,1.23,11225.83,9914.25,11187,9496.33,10773.17,2.49,2.3,2.77,2.23,2.58,2.54,3.26,1.69,4.56,16.68,13.57,12.81,13.26
Kif1bp,M01773065,Kif1bp:Het,Het,Male,2014-07-10,MGCY,73.3,0.7,50,23.3,78.7,0.94,2.19,0.01,12884.17,7767,13586.83,10667.17,9051.33,2.46,2.71,2.51,2.32,2.64,3.28,3.79,2.48,4.52,15.59,13.61,15.01,13.52
Adgrd1,M01773339,Adgrd1(b):Hom,Hom,Female,2014-07-08,MUCE,122,0.3,94.7,27.3,114.7,1.07,3.49,0,12407,3830,12582.67,10469.83,9320.67,2.46,2.47,2.5,2.33,2.61,3.37,3.79,2.66,4.57,15.91,14.13,15.1,12.9
Pitrm1,M01777414,WT,WT,Female,2014-07-14,MFXT,113,0.7,68,45,81,1.42,1.77,0,10667.5,3597,11269.17,9488.83,11187,2.31,2.76,2.35,2.22,2.78,2.65,2.9,2.52,4.86,15.69,14.26,15.08,13.19
Tctex1d2,M01778521,Tctex1d2:Hom,Hom,Female,2014-07-14,MFYD,116,0.7,65.7,50.3,71.7,1.66,1.42,0.01,13066.5,5596,14036.5,11485.5,11260,2.47,1.8,2.53,2.39,2.59,3.45,4.05,2.96,4.67,15.18,13.52,14.7,13.07
Zfyve28,M01773916,Zfyve28(b):Hom,Hom,Male,2014-07-14,MUCZ,40.7,5.7,23,17.7,37.7,1.09,1.35,0.14,9948.83,5929,10554,9056.5,13028.83,2.75,2.66,2.7,2.73,2.91,2.95,2.94,2.99,5.79,13.48,12.52,13.02,14.49
Pitrm1,M01777410,WT,WT,Male,2014-07-14,MFXT,100.7,1,67,33.7,86.7,1.19,2,0.01,12222.83,4261,12749,8548.17,10718.17,2.51,1.73,2.56,2.41,2.82,3.33,3.83,2.77,5.02,15.39,13.73,15.14,13.47
Nxn,M01781538,WT,WT,Female,2014-07-14,MUCQ,107.3,1.7,72,35.3,108.7,1.04,4.08,0.02,10689.17,8535.5,11376.83,9101.33,10535.83,2.49,2.51,2.55,2.1,2.52,2.86,3.28,2.04,4.61,14.58,13.4,13.85,13.29
Ndufb8,M01778648,WT,WT,Male,2014-07-14,MFHG,95,0.7,47,48,63,1.52,1,0.01,11476,3859.5,12276.83,10872.83,10454.17,2.32,1.94,2.34,2.27,2.67,2.91,3.55,2.6,4.55,16.36,14.52,16.09,13.44
