Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Vg5plus_Dendritic_epidermal_T_cell_xDETCx_count,CD45plus_Vg5minus_MHC_IIminus_cell_count,Count_of_Vg5plus_DETC_contacting_LC,Count_of_Vg5plus_DETC_not_contacting_LC,Langerhans_cell_xLCx_count,Vg5plus_DETC_to_LC,contacting_to_not_contacting_Vg5plus_DETC,CD45plus_Vg5minus_MHC_IIminus_cells_to_Vg5plus_DETC,Average_volume_of_Vg5plus_DETC,Average_volume_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_volume_of_Vg5plus_DETC_contacting_LC,Average_volume_of_Vg5plus_DETC_not_contacting_LC,Average_volume_of_LC,Average_roundness_of_Vg5plus_DETC,Average_roundness_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_roundness_of_Vg5plus_DETC_contacting_LC,Average_roundness_of_Vg5plus_DETC_not_contacting_LC,Average_roundness_of_LC,Average_no_of_branches_on_Vg5plus_DETC,Average_no_of_branches_on_Vg5plus_DETC_contacting_LC,Average_no_of_branches_on_Vg5plus_DETC_not_contacting_LC,Average_no_of_branches_on_LC,Average_branch_length_of_Vg5plus_DETC,Average_branch_length_of_Vg5plus_DETC_contacting_LC,Average_branch_length_of_Vg5plus_DETC_not_contacting_LC,Average_branch_length_of_LC
Vps33b,M01583738,WT,WT,Male,2013-12-12,MEXC,44.3,9.7,13,31.3,39,1.63,0.83,0.23,5535,6969,6182.5,4730,7366.5,2.63,2.79,2.59,2.6,2.65,2.33,2.37,2.28,2.24,14.03,13.25,13.54,11.47
Dlg3,M01625885,WT,WT,Male,2014-01-29,MCZY,125.7,1.3,57,68.7,65.3,1.93,0.96,0.01,8268.33,5991.67,8963.5,8009,6842.67,2.37,2.11,2.39,2.34,2.74,2.22,2.56,2.17,3.03,14.52,12.82,14.93,12.04
1700011A15Rik,M01665794,1700011A15Rik:Hom,Hom,Male,2014-03-12,MFUU,116.3,0,86,30.3,85.7,1.37,2.93,0,10602.33,NA,11045.83,8559,10926.67,2.51,NA,2.52,2.39,2.9,3.03,5.11,2.51,8.64,15.9,14.27,15.41,14.91
Dynlrb1,M01700162,WT,WT,Male,2014-04-24,MDUV,103,0,63,40,76.3,1.43,1.71,0,12168.33,NA,12705.17,11132.83,13283.17,2.29,NA,2.36,2.17,2.78,2.91,3.41,2.56,5.41,14.33,13.04,13.98,13.24
Dcbld2,M01749363,Dcbld2:Hom,Hom,Male,2014-06-11,MFTX,80.3,2,30.7,49.7,68.3,1.2,0.61,0.03,9350,8270.33,14073.67,7701.83,13117.67,NA,NA,NA,NA,NA,13.73,33.64,12.09,23.8,NA,NA,NA,NA
Nxn,M01755765,Nxn(b):Het,Het,Female,2014-06-16,MUCQ,74.7,0.7,56,18.7,65,1.19,3.52,0.01,7914.5,5707,8528.17,6093.67,11730.17,2.72,3.56,2.79,2.68,2.77,2.3,2.42,1.88,3.17,12.77,11.79,13.3,11.36
Zfyve28,M01749106,Zfyve28(b):Hom,Hom,Female,2014-06-23,MUCZ,82.7,0.3,59,23.7,89.3,0.94,2.53,0,10755.5,8609,11559,9405.83,9880,2.64,1.86,2.71,2.42,2.76,3.23,3.95,2.62,5.54,17.07,15.08,15.79,13.96
Traf6,M01764730,Traf6:Het,Het,Female,2014-06-30,MFXR,75.3,12.7,34,41.3,67.3,1.13,0.89,0.19,5282.67,7596.17,5408,4952.33,9299.83,2.89,2.55,2.88,2.88,2.54,2.94,3.2,2.64,3.36,15.29,13.95,14.92,12.07
Lyrm9,M01773261,WT,WT,Female,2014-07-21,MGHA,82.7,0.3,33,49.7,76.7,1.15,0.74,0.01,6406.17,4699,9346.17,5678,5953.67,NA,NA,NA,NA,NA,7.44,15.6,6.75,6.28,NA,NA,NA,NA
Mpg,M01850990,Mpg:Hom,Hom,Female,2014-10-06,MGJL,98,0.3,70.7,27.3,110.3,0.89,2.61,0,13434.5,7685,15250.67,8445,10117.83,2.23,2.54,2.24,2.23,2.39,3.32,5.86,2.29,6.85,15.21,13.71,15.33,13.64
1700112E06Rik,M01851982,1700112E06Rik:Hom,Hom,Male,2014-10-13,MGGQ,79,2,32,47,46.3,1.73,0.7,0.03,16895.33,12156.67,17896.17,16112.83,12835,2.22,2.59,2.3,2.19,2.68,3.68,5.8,3.56,8.02,16.51,14.92,16.61,13.9
Dhodh,M01893951,Dhodh(b):Het,Het,Female,2014-11-24,MUBN,106.7,3.7,71.3,35.3,108,1,2.81,0.04,8474.17,4284.67,8926.17,6838.33,10976.5,2.61,2.52,2.67,2.55,2.62,2.55,2.89,2.15,4.06,14.34,13.42,13.91,12.38
Kif3b,M02029397,WT,WT,Male,2015-04-27,MUEF,81.7,0,54.7,27,72.3,1.12,2.04,0,12249.17,NA,12864.33,10109.67,12668.17,2.36,NA,2.44,2.22,3,3.28,5.13,2.7,9.28,16.82,15.14,15.8,14.68
Tead3,M02057989,WT,WT,Male,2015-06-01,MFNP,82.7,2.7,53.3,29.3,70.3,1.16,1.81,0.04,11958,9491.5,13034.83,9620.5,14735.67,2.5,2.64,2.53,2.42,2.58,2.51,2.85,2.1,3.29,13.39,12.28,12.81,11.86
Chmp6,M02070591,Chmp6(b):Het,Het,Female,2015-06-15,MUHR,85,1.7,63,22,85.7,1.01,3.06,0.02,9696.17,5682.67,12278.67,6024.83,11745,2.67,2.21,2.7,2.53,2.57,2.57,3.29,1.91,2.32,12.46,11.43,12.82,11.22
Tmem30a,M02079387,Tmem30a:Het,Het,Female,2015-06-24,MGNA,118,0,96,22,110.7,1.07,4.52,0,11708,NA,12152,10588.83,10195.5,2.6,NA,2.59,2.58,2.73,3.89,5.99,3.24,9.27,16.04,14.51,15.55,13.6
Tex38,M02130205,Tex38:Hom,Hom,Male,2015-08-24,MFDZ,103.7,0.7,75,28.7,79.3,1.31,2.67,0.01,11966.67,5256.5,12472.5,9296.33,15591.17,2.6,2.34,2.73,2.36,3.03,3.43,5.5,2.63,9.67,17.01,15.36,16.14,15.23
Nek3,M02143836,Nek3(b):Hom,Hom,Female,2015-09-03,PMBT,111.3,0,87,24.3,103.3,1.08,3.64,0,12234.33,NA,12612,10093.67,12723.83,2.52,NA,2.55,2.38,2.74,3.44,5.12,2.68,9.5,17.07,15.1,16.72,14.56
Arhgap17,M02181637,Arhgap17(b):Hom,Hom,Male,2015-10-19,PMAP,45,0,35.3,9.7,74.7,0.6,3.67,0,7923.67,NA,8782,5561.33,14766.83,2.64,NA,2.68,2.45,2.62,2.77,4.91,2.13,9.1,15.38,13.98,13.89,14.3
Rab21,M02231657,WT,WT,Male,2015-12-29,PMCE,94,1,55.7,38.3,91,1.03,1.78,0.01,6428.5,5381.67,7016,6236.67,12032.33,2.42,2.5,2.44,2.4,2.87,2.48,4.11,2.19,9.66,16.16,14.64,15.96,13.74
Kera,M02259456,Kera:Hom,Hom,Male,2016-02-01,DAAT,89.3,0,72.7,16.7,90,0.98,4.37,0,11850.83,NA,12227.5,8804,12793.67,2.28,NA,2.33,2.01,2.78,3.08,4.6,2.17,8.37,16.57,14.71,17.38,14.59
Hbs1l,M02287373,WT,WT,Female,2016-03-07,METC,123,0,91.3,31.7,119,1.04,2.92,0,9996,NA,10436.33,8374.67,10228,2.35,NA,2.44,2.24,2.64,2.87,5.11,2.43,7.82,14.41,13.29,13.58,13.78
Mir96,M02332791,Mir96(.2):Hom,Hom,Male,2016-05-05,TCAA,98,1,67.7,30.3,87.3,1.13,2.48,0.01,6947.67,4364,7596,5862.17,7715.33,2.72,3.07,2.75,2.59,2.81,2.98,5.04,2.71,6.93,15.76,14.07,15.7,13.63
Ube2d1,M02541207,WT,WT,Female,2017-01-25,MGVL,105,0.3,23,82,28.3,5.07,0.3,0,9302.67,3503,9611.17,8919.33,6670.33,2.5,2.09,2.63,2.46,2.75,3.31,7.21,3.15,5.2,13.38,12.77,13.33,11.28
Sfxn3,M01626559,Sfxn3(b):Hom,Hom,Male,2014-02-03,MUBE,71.3,3.3,39.7,31.7,53.3,1.35,1.27,0.05,6487,6394.17,6457.67,6347.33,12261.5,2.55,2.37,2.65,2.41,2.79,1.96,2.1,1.87,2.37,14.74,12.79,14.79,11.28
Krt7,M01626347,Krt7(b):Hom,Hom,Male,2014-02-03,MUCU,82,6,62.7,19.3,78,1.05,3.45,0.17,8502.5,5087.17,9063,6562,9880.17,2.71,2.82,2.72,2.61,2.85,2.57,2.74,2.15,3.16,14.77,13.14,13.48,12.15
Gm16515,M01633719,Gm16515(b):Hom,Hom,Male,2014-02-03,MUBX,52,8.7,11.3,40.7,49.3,1.34,0.34,0.23,8466.83,4741.17,9528.33,7845.5,4601,2.62,2.91,2.7,2.61,2.62,3.03,5.27,2.83,4.51,15.17,13.09,15.11,12.42
Krt7,M01634646,Krt7(b):Hom,Hom,Female,2014-02-03,MUCU,101.7,6,75.3,26.3,130.7,0.78,2.87,0.06,5401.17,5442.33,5572.67,4905.83,9498.17,2.78,2.44,2.8,2.69,2.41,2.2,2.12,1.83,2.12,13.44,12.26,12.68,10.89
D630023F18Rik,M01637441,D630023F18Rik(b):Hom,Hom,Male,2014-02-03,MUDD,78,3.7,51.3,26.7,67.7,1.16,2.17,0.05,8151.83,5306,8728.33,6479.67,14041.17,2.69,2.87,2.73,2.59,2.7,2.33,2.49,1.78,3.56,13.89,12.39,13.86,12.11
Defb22,M01638857,Defb22:Hom,Hom,Male,2014-02-03,MFXV,45,9.7,29.3,15.7,54,0.83,1.83,0.25,5929.5,6489,6577,5206.33,13561.33,2.68,2.38,2.69,2.62,2.69,1.27,1.04,1.2,2.65,11.3,10.38,11.18,11.25
Defb22,M01638858,Defb22:Hom,Hom,Female,2014-02-03,MFXV,80.3,3.7,40.7,39.7,82.7,0.98,1.15,0.05,6532.17,3967.17,7196.33,5815.33,6567.5,2.58,2.51,2.63,2.49,2.57,2.64,4.52,2.35,5.76,14.65,13.37,14.69,12.15
D630023F18Rik,M01637446,D630023F18Rik(b):Hom,Hom,Female,2014-02-03,MUDD,115.3,3,82,33.3,131.7,0.93,2.45,0.03,7587.67,6149,8711.5,5024.33,7264.33,2.57,2.64,2.61,2.5,2.41,2.15,2.53,1.72,2.37,14.06,12.67,13.97,11.85
Card9,M01636825,WT,WT,Female,2014-02-05,MFVJ,86.7,4,47.7,39,102.7,0.83,1.21,0.06,5970.83,3961.83,6621.33,5412.17,8183.17,2.24,2.44,2.34,2.11,2.33,1.96,2.38,1.66,3.57,13.71,12.56,13.36,12.99
Agap1,M01642966,Agap1:Hom,Hom,Female,2014-02-05,MDVW,23,1.3,10.3,12.7,53,0.45,0.68,0.18,5699.67,5297,6927.5,4962.33,6906.83,2.8,2.21,2.88,2.78,2.15,1.57,1.88,1.73,2.46,11.1,11.28,14.07,11.6
Adcy2,M01637673,Adcy2:Hom,Hom,Female,2014-02-05,MDZW,57.3,8,29.7,27.7,103.3,0.58,1.09,0.14,6178.5,4111.17,7347.33,5220.33,7929.17,2.55,2.62,2.63,2.43,2.33,2.2,2.5,1.95,3.12,13.83,12.28,13.4,12.53
Alox12e,M01633806,Alox12e(b):Hom,Hom,Male,2014-02-05,MUCA,87,6.7,41,46,48.7,1.78,0.99,0.08,6010,5133,6202.67,5351.33,10992.5,2.69,2.63,2.8,2.64,2.86,2.63,3.18,2.35,5.36,16.34,14.13,16.42,13.69
Agap1,M01642963,Agap1:Hom,Hom,Male,2014-02-05,MDVW,33.7,6,12,21.7,32,1.08,0.55,0.21,7518.83,3996.33,8877.83,7094.5,13395,2.49,2.67,2.72,2.43,2.63,2.29,2.62,2.23,4.49,12.22,11.16,12.61,13.4
Alox12e,M01633807,Alox12e(b):Hom,Hom,Female,2014-02-05,MUCA,112.3,4.7,65.3,47,117,1.01,1.72,0.05,6891.83,4589.17,7414.5,6263.33,7321.67,2.52,2.44,2.56,2.41,2.36,2.41,2.65,1.99,3.26,14.49,12.88,14.27,12.82
Serinc3,M01632526,Serinc3:Hom,Hom,Male,2014-02-05,MFXJ,12,20.3,6.7,5.3,79,0.18,1.25,1.67,6358,4729,6467.5,5475.33,8958.33,2.56,2.51,2.56,2.61,2.44,1.48,1.24,1.31,2.59,12.1,9.5,14.18,11.59
Card9,M01636756,WT,WT,Female,2014-02-05,MFVJ,36,4.7,16.3,19.7,65.3,0.53,0.73,0.31,5694.83,4378.33,4956.67,6411.17,7343.67,2.61,2.48,2.64,2.57,2.4,1.91,1.68,2.09,2.18,12.91,11.62,13.19,11.85
Card9,M01636752,WT,WT,Male,2014-02-05,MFVJ,49.3,1.7,21.7,27.7,43.3,1.15,0.84,0.04,8408.5,6217,8854.5,8235,12430.17,2.76,2.69,2.85,2.63,2.97,3.17,3.54,2.81,5.37,15.24,13.26,14.99,13.96
Klf17,M01633620,Klf17(b):Hom,Hom,Male,2014-02-05,MUBV,16.7,20,3.3,13.3,50,0.34,0.25,1.2,5787.83,4604.17,5626.67,5889.83,7594.83,2.54,2.61,2.49,2.51,2.26,1.64,0.6,1.61,2.55,11.94,NA,12.18,12.26
Trp53rkb,M01645821,Trp53rkb:Hom,Hom,Female,2014-02-10,MFJA,109.7,0.3,85.3,24.3,92,1.2,3.63,0,7471.17,8092,7804.33,5785.33,6368.83,2.38,2.27,2.43,2.14,2.59,3.08,4.6,2.41,7.02,16.81,15.27,15.62,14.45
Ccdc159,M01638100,Ccdc159:Hom,Hom,Female,2014-02-10,MEZZ,78.7,0.3,53,25.7,73,NA,1.66,0,8374.33,3203,8898.5,6949.17,5928.25,2.51,2.75,2.25,2.43,2.6,3.67,4.94,3.32,6.94,17.02,13.9,17.43,14.03
Stard8,M01642743,Stard8(b):Hom,Hom,Female,2014-02-10,MUAL,142.3,0,101.3,41,106,1.42,2.93,0,9435.33,NA,9856,8773.17,9352.33,2.55,NA,2.61,2.44,2.83,3.17,4.77,2.69,8.53,16.78,15.12,16.22,14.08
Trp53rkb,M01645816,Trp53rkb:Hom,Hom,Male,2014-02-10,MFJA,73.7,5.7,29.7,44,40.3,1.99,0.76,0.09,8041.33,6010.33,8037.17,7560.33,13562.67,2.7,2.92,2.74,2.65,3.11,3.18,5.14,3.01,9.31,16.9,15.17,16.95,14.9
Stard8,M01642737,Stard8(b):Hemi,Hom,Male,2014-02-10,MUAL,106.7,0,61,45.7,68.7,1.57,1.41,0,9616.33,NA,10555.83,8407.17,12233.33,2.3,NA,2.39,2.18,2.97,2.75,4.36,2.46,9.12,16.74,14.62,16.91,14.9
Bai1,M01640264,Bai1:Hom,Hom,Male,2014-02-10,MEMT,84.3,0,61.7,22.7,75,1.14,2.76,0,10642.17,NA,10835.5,10007.5,13039.5,2.36,NA,2.4,2.08,3.03,2.83,4.21,2.46,9.84,16.59,15,16.58,15.32
Ccdc159,M01638142,Ccdc159:Hom,Hom,Male,2014-02-10,MEZZ,99.7,1.7,57.3,42.3,66,1.55,1.41,0.02,7749,6565.75,8591.33,7117,14589.83,2.42,2.84,2.5,2.33,3.02,2.73,4.26,2.37,10.24,16.67,15,16.87,15.39
Fbxw26,M01642881,Fbxw26(b):Hom,Hom,Female,2014-02-12,MUBR,88.7,3.7,50.7,38,115.3,0.79,1.42,0.04,6755.5,4103.17,7490.17,5356.17,9781.67,2.35,2.07,2.36,2.34,2.48,2.33,3.83,1.87,7.11,15.32,14.31,15.49,13.8
Fbxw26,M01642877,Fbxw26(b):Hom,Hom,Male,2014-02-12,MUBR,45.3,15.3,15.7,29.7,68.3,0.59,0.31,0.78,6402.17,4332.33,7952.75,5574.83,8091.67,2.38,2.65,2.64,2.29,2.56,2.27,3.23,2.07,4.97,13.95,13.03,13.89,14.46
Slitrk4,M01645044,Slitrk4(b):Hemi,Hom,Male,2014-02-12,MUAB,45.7,5.7,24,21.7,112.7,0.39,1.03,0.17,7751,4783.17,8527.33,6994.33,10107,2.28,2.49,2.33,2.28,2.41,2.03,3.41,1.67,6.26,16.18,14.99,15.54,14.53
N6amt2,M01640228,WT,WT,Female,2014-02-12,MFTF,57.3,2,37.3,20,94.3,0.57,1.79,0.07,6286.17,5605,7777,4812.17,8449.17,2.54,2.48,2.68,2.3,2.38,2.79,5.26,2.14,5.82,15.14,13.54,15.54,13.85
Gm16515,M01639296,Gm16515(b):Hom,Hom,Female,2014-02-12,MUBX,111,0,73.7,37.3,100,1.11,2.23,0,11177.67,NA,12127.33,9409,11064.67,2.27,NA,2.31,2.19,2.61,3.08,4.84,2.62,7.61,16.37,14.6,16.33,13.94
Stard8,M01642735,WT,WT,Male,2014-02-12,MUAL,43,6.3,15.7,27.3,40,1.08,0.61,0.15,6851,4536.5,6819.17,6664.67,8160.83,2.53,2.41,2.71,2.44,2.37,2.13,2.12,1.91,3.17,13.65,12.37,13.15,12.91
Dip2a,M01636361,WT,WT,Female,2014-02-12,MUBY,138.3,1.7,93.3,45,106.3,1.35,2.3,0.11,6248.5,4343.67,6371,5803,8411.5,2.41,2.5,2.47,2.24,2.5,2.49,3.45,2.19,6.63,17.1,15.34,16.98,14.25
Klf17,M01639184,Klf17(b):Hom,Hom,Male,2014-02-12,MUBV,82.3,1.3,41,41.3,75.7,1.12,1.21,0.02,6991.67,3547.5,7768.67,6455,9624.67,2.33,2.52,2.41,2.32,2.43,2.58,4.43,2.11,6.24,15.69,14.26,15.54,14.45
Stard8,M01642758,WT,WT,Male,2014-02-12,MUAL,79.7,0.7,52.3,27.3,61.3,1.28,1.98,0.01,10236,6388,11467.33,9289.33,11394,2.48,3.26,2.56,2.33,2.94,2.96,4.62,2.65,7.28,17.14,15.12,17.22,15.25
Klf17,M01639117,Klf17(b):Hom,Hom,Female,2014-02-12,MUBV,170.7,0,112,58.7,109,1.66,2.01,0,9872.33,NA,10369.5,8998.83,10153,1.96,NA,2.02,1.89,2.71,2.55,4.07,2.02,8.44,16.41,15.25,16.31,14.64
Slitrk4,M01645049,Slitrk4(b):Hom,Hom,Female,2014-02-12,MUAB,37.3,2.7,6,31.3,53,0.94,0.36,0.04,5024.5,4643.5,6258.67,4633,5232,2.3,3.09,2.41,2.24,2.51,1.51,2.22,1.4,4.07,13.3,12.38,12.96,12.07
Wnt16,M01652190,WT,WT,Male,2014-02-17,MUBC,77,4,48,29,64.3,1.19,1.72,0.06,8475.67,5339.17,9201.33,7063.17,11413.67,2.5,2.6,2.56,2.41,2.73,3.11,3.42,2.65,5.34,15.21,13.43,15.23,13.82
Vps33b,M01642570,WT,WT,Female,2014-02-17,MEXC,106,0,87.7,18.3,93.7,1.15,6.82,0,12079.33,NA,12451.33,9193.33,10494.17,2.52,NA,2.53,2.33,2.72,3.52,4.06,3.01,5.64,16.26,14.04,15.72,13.94
Vps33b,M01642601,WT,WT,Female,2014-02-17,MEXC,108.7,0,67.3,41.3,79,1.4,1.81,0,10035.17,NA,10550.17,9180,10195.33,2.52,NA,2.56,2.42,2.73,3.21,3.58,3.03,5.14,15.71,13.8,15.5,13.19
Izumo1r,M01647795,Izumo1r:Hom,Hom,Male,2014-02-17,MFVS,84,1.3,38.7,45.3,45,1.93,0.99,0.02,9851.83,7105.5,11674.33,8710,12836,2.72,2.91,2.74,2.68,2.96,2.97,3.88,2.68,5.9,15.05,13.44,14.56,13.73
Myo10,M01651299,Myo10:Hom,Hom,Male,2014-02-17,MFQX,124,3,60,64,61,2.11,1.2,0.02,10318.5,5810.5,11654.83,8510.5,12006,2.38,2.24,2.44,2.34,2.71,2.6,2.97,2.32,4.97,14.46,13.28,14.1,12.46
Rbm47,M01640956,Rbm47:Hom,Hom,Female,2014-02-17,MFRM,112,1,72.3,39.7,90.7,1.26,1.9,0.11,11750.67,6263,12376.67,8814.67,11269,2.27,2.53,2.3,2.24,2.55,3.25,4,2.59,5,15.35,13.6,14.55,13.37
Myo10,M01651302,Myo10:Hom,Hom,Female,2014-02-17,MFQX,117.7,1,81.3,36.3,91,1.31,2.32,0.01,9315.83,4433,10123,7587.17,13025.33,2.62,2.54,2.71,2.4,2.67,2.67,3.13,1.98,4.62,14.12,12.81,13.55,12.42
Wnt16,M01652177,WT,WT,Male,2014-02-17,MUBC,71.7,3.7,43.3,28.3,97.3,0.74,1.55,0.06,6061.17,5664,6642.5,4989.83,11446.5,2.4,2.32,2.47,2.32,2.44,2.12,2.42,1.79,3.47,15.03,13.6,14.05,12.14
Rbm47,M01640960,Rbm47:Hom,Hom,Male,2014-02-17,MFRM,102.7,5,55.3,47.3,73,1.41,1.25,0.05,11880.83,8435.25,12574.33,11331.17,14641.67,2.48,2.61,2.49,2.45,2.69,2.72,3.09,2.4,4.94,14.22,12.96,13.7,12.57
Stard8,M01642747,Stard8(b):Hemi,Hom,Male,2014-02-17,MUAL,99,0.7,54,45,68.3,1.46,1.32,0.01,9749,5804.5,9876.67,9608.67,14559.33,2.42,2.08,2.52,2.33,2.59,2.58,2.75,2.44,4.13,14.62,13.01,14.51,12.16
Serinc3,M01654747,Serinc3:Hom,Hom,Female,2014-02-19,MFXJ,111,0.7,77,34,88.7,1.27,2.43,0.01,11853,3703,13597.17,6738.67,10427.17,2.32,2.39,2.31,2.34,2.54,3.38,4.13,2.62,5.24,14.78,13.1,15.23,13.55
Gm16515,M01646584,Gm16515(b):Hom,Hom,Male,2014-02-19,MUBX,50.7,2,35.3,15.3,52,0.98,2.59,0.04,11087.67,5369,12333.33,8377.67,11917,2.51,2.44,2.61,2.34,2.89,3.33,3.82,2.68,6.33,16.81,13.93,16.53,14.19
Lonrf3,M01654830,Lonrf3(b):Hom,Hom,Female,2014-02-19,MUAN,118,2,86,32,101.3,1.18,2.81,0.02,9856.83,5774,10442.83,8401.67,10862.17,2.45,2.51,2.48,2.41,2.76,2.88,3.27,2.31,4.97,14.77,13.24,14.59,12.97
Uevld,M01647712,Uevld:Hom,Hom,Female,2014-02-19,MFTT,135.7,0.3,89.3,46.3,76.7,1.8,2.05,0,9706,3053,10064.67,9219.5,12935.5,2.46,1.99,2.52,2.32,2.87,3.14,3.73,2.85,6.87,15.88,14.35,15.19,13.56
Lonrf3,M01654785,Lonrf3(b):Hemi,Hom,Male,2014-02-19,MUAN,93.3,1,69.7,23.7,114.3,0.82,2.98,0.01,7823.33,4670,8179.67,6961,8777.83,2.16,1.94,2.21,2.08,2.54,2.24,2.69,1.95,4.17,16.35,14.36,15.7,13.68
Bai1,M01651677,Bai1:Hom,Hom,Female,2014-02-19,MEMT,90,10.3,56.3,33.7,71.7,1.24,1.68,0.15,6649.33,3929.33,7174.83,5992.33,10378.5,2.7,2.52,2.76,2.67,2.64,3.03,3.83,2.47,6.15,14.64,13.36,14.28,13.7
N6amt2,M01653471,N6amt2:Hom,Hom,Female,2014-02-19,MFTF,76.3,0.7,41.7,34.7,59.7,1.37,1.38,0.01,14362.5,7588.5,14639.83,12262.83,15420.33,2.29,2.95,2.31,2.35,2.79,2.57,3.04,2.48,5.44,14.53,12.9,14.05,13.1
Stard8,M01650348,Stard8(b):Hom,Hom,Female,2014-02-24,MUAL,85.3,1.3,58.3,27,76.3,1.19,2.48,0.02,6699.5,6347.33,6705,6476,11821.67,2.75,2.9,2.82,2.58,2.67,2.99,3.28,2.83,3.36,16.34,14.36,16.33,11.73
Arhgap22,M01651545,Arhgap22:Hom,Hom,Female,2014-02-24,MFBW,92.3,0.7,65.7,26.7,81.3,1.14,2.52,0.01,10878,3694,11438.67,9236.67,9005.17,2.7,3.27,2.72,2.62,2.82,3.5,4.15,2.97,3.69,16.27,14.56,16.01,12.54
Lonrf3,M01654714,Lonrf3(b):Hemi,Hom,Male,2014-02-24,MUAN,95.3,0,79.3,16,73.3,1.3,5.11,0,9604.5,NA,9888,7684.67,12944.67,2.83,NA,2.88,2.57,2.99,3.25,3.66,2.33,4.75,16.97,14.89,16.58,12.65
Trp53rkb,M01655518,Trp53rkb:Hom,Hom,Female,2014-02-24,MFJA,66.7,9.7,31.7,35,70.7,0.97,0.87,0.17,8242.67,4197.5,8732.33,7482.17,4709.5,2.74,2.78,2.74,2.72,2.54,2.96,3.31,2.95,2.37,15.27,13.88,15.33,11.74
Rundc1,M01654603,Rundc1(b):Het,Het,Female,2014-02-24,MUAV,109.7,1.3,72.3,37.3,104.3,1.12,2.22,0.02,9076.33,4483.5,9580.33,8690.17,7495,2.62,2.54,2.63,2.58,2.58,2.99,3.48,2.64,2.31,14.95,13.57,14.18,11.52
Fbxw26,M01658838,Fbxw26(b):Hom,Hom,Male,2014-02-24,MUBR,82.7,11,41,41.7,65,1.28,1.02,0.14,8769.83,7039,11785.5,7134.83,9031,2.52,2.4,2.57,2.44,2.58,2.31,2.58,2.03,2.48,13.38,12,13.08,11.39
Lonrf3,M01654832,Lonrf3(b):Hom,Hom,Female,2014-02-24,MUAN,140.7,2,105.7,35,89,1.59,3.08,0.01,11109.17,3736.25,11604.33,7934.67,13165.83,2.7,2.92,2.74,2.59,2.93,3.31,3.5,2.56,3.09,14.59,13.09,14.41,11.57
Trp53rkb,M01655499,Trp53rkb:Hom,Hom,Male,2014-02-24,MFJA,116.3,0,83,33.3,74.3,1.6,2.62,0,8570.33,NA,9001,7447.5,8479.83,2.84,NA,2.89,2.66,2.99,3.12,3.55,2.54,4.66,16.82,14,16.6,13.46
Xxylt1,M01647358,Xxylt1:Hom,Hom,Male,2014-02-24,MFVL,144,0,72.3,71.7,66.7,2.23,1.57,0.1,8598.67,NA,8284.83,8945.17,9651.5,2.84,NA,2.95,2.72,2.75,2.94,3.34,2.78,2.3,15.97,14.73,15.76,11.22
Xxylt1,M01647362,Xxylt1:Hom,Hom,Female,2014-02-24,MFVL,119.7,1,85.7,34,103.3,1.16,2.58,0.01,7986.67,3796,8248,7270.83,8642.5,2.73,3.14,2.78,2.58,2.8,2.93,3.62,2.45,2.98,16.48,14.49,15.66,11.88
Arhgap22,M01651541,Arhgap22:Hom,Hom,Male,2014-02-24,MFBW,113,0,72.3,40.7,67.3,1.71,1.94,0,9705.67,NA,10158.33,8273.17,11370.5,2.87,NA,2.96,2.65,3.09,3.37,4.06,2.69,4.39,16.29,14.69,16.39,12.56
1700011A15Rik,M01648497,1700011A15Rik:Hom,Hom,Female,2014-02-26,MFUU,48,6.3,26.3,21.7,109.7,0.44,1.21,0.13,6450.83,4488.67,7715.5,5272.83,6562,2.52,2.73,2.64,2.43,2.67,2.05,2.22,1.67,1.99,13.08,11.94,12.33,11.29
Alox12e,M01654531,Alox12e(b):Hom,Hom,Female,2014-02-26,MUCA,109.3,6.7,60,49.3,78.3,1.45,1.29,0.07,6650.83,4020.83,6968.5,6312.33,11262.83,2.77,2.54,2.81,2.71,2.72,2.6,2.71,2.45,2.75,14.77,13.45,14.73,11.31
Mybphl,M01655368,Mybphl(b):Het,Het,Male,2014-02-26,MUAF,102.3,1.3,65,37.3,70.3,1.46,1.9,0.01,7699.67,5649,7480.67,7661.67,11843.17,2.96,2.45,3.02,2.76,2.91,3.3,3.62,3.03,3.68,16.27,14.52,15.93,12.1
Dbn1,M01653253,WT,WT,Male,2014-02-26,MUCL,74,5.3,49.7,24.3,54.7,1.37,2.32,0.08,11821.83,5384.5,12800,9167.5,13849.33,2.76,2.16,2.84,2.62,3.05,3.75,4.47,2.92,4.9,16.34,14.19,15.21,12.7
Bai1,M01653130,Bai1:Hom,Hom,Female,2014-02-26,MEMT,109.3,0,74.3,35,92.3,1.22,2.36,0,8210.83,NA,8692.67,7336,9960.83,3.02,NA,3.09,2.8,2.84,3.46,3.9,3.02,3.32,15.43,14.08,14.66,11.91
Mybphl,M01655346,Mybphl(b):Het,Het,Female,2014-02-26,MUAF,121,2.3,69.7,51.3,61.7,2.15,1.41,0.02,8556.67,6223.25,8811.33,8305.67,9905,2.59,2.64,2.69,2.54,2.82,2.83,3.47,2.61,3.07,15.93,14.53,15.82,12.34
