Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,Total_T_cells_-_%_of_CD45+,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Pth,MFEQ,M01522928,Pth:Hom,Hom,Male,2013-10-13,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.82388132,96.964,53.971,85.295,12.428,85.65,0.106,15.329,66.971,30.71,4.22,43.297,2.414,15.719,72.22,0.093,3.036,NA,22.024,70.291,0.276,0.283,72.523,15.528,81.988,1.398,27.477,47.131,32.787,19.672,0.73,50.349,49.738,9.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.554,21.888,18.669,2.32,15.99,0.02,3.355,2.247,1.03,0.142,17.559,0.424,2.76,12.681,0.016,1.27,NA,0.28,0.893,0.004,0.205,0.032,0.168,0.003,0.078,0.037,0.026,0.015,0.368,0.363,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pth,MFEQ,M01522929,Pth:Hom,Hom,Male,2013-10-13,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.86438781,97.426,47.166,86.128,19.702,78.068,0.12,14.394,76.654,22.626,4.542,49.99,4.675,18.842,62.114,0.241,2.574,NA,23.97,65.417,0.238,0.257,60.303,19.706,77.358,4.612,39.697,45.541,42.675,24.204,0.781,70.512,29.613,10.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.632,21.995,18.944,3.732,14.789,0.023,3.166,2.427,0.716,0.144,23.311,1.09,4.392,14.48,0.056,1.232,NA,0.295,0.806,0.003,0.155,0.031,0.12,0.007,0.102,0.047,0.044,0.025,0.551,0.231,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pth,MFEQ,M01522934,Pth:Hom,Hom,Female,2013-10-13,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.04019543,97.874,52.713,88.274,17.334,79.968,0.101,12.13,77.979,21.257,3.679,45.159,3.142,13.478,71.482,0.075,2.126,NA,21.324,63.579,0.235,0.282,50.116,14.385,82.135,3.016,49.884,48.485,34.266,18.415,0.339,46.654,53.346,18.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.785,30.46,26.889,4.661,21.502,0.027,3.695,2.881,0.785,0.136,26.096,0.82,3.517,18.654,0.02,1.255,NA,0.268,0.798,0.003,0.142,0.02,0.116,0.004,0.141,0.068,0.048,0.026,0.158,0.181,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pth,MFEQ,M01522935,Pth:Hom,Hom,Female,2013-10-13,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.98991219,97.523,52.675,87.59,20.362,74.184,0.119,12.9,79.251,19.008,3.663,44.52,3.78,9.948,68.587,0.198,2.477,NA,19.305,64.863,0.323,0.343,51.429,16.852,78.889,2.593,48.571,46.471,25.882,38.235,0.451,43.157,56.626,17.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.777,25.166,22.043,4.489,16.353,0.026,3.247,2.573,0.617,0.119,21.27,0.804,2.116,14.589,0.042,1.213,NA,0.234,0.787,0.004,0.176,0.03,0.139,0.005,0.167,0.077,0.043,0.064,0.195,0.255,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,MEVW,M01524094,Ankrd9:Hom,Hom,Male,2013-10-13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.97152538,97.145,53.46,85.944,16.23,81.413,0.121,14.642,78.925,19.925,4.435,43.354,3.465,14.883,70.073,0.368,2.855,NA,22.479,67.688,0.418,0.33,69.091,21.053,78.947,1.316,30.909,54.575,23.529,17.974,0.544,48.128,52.302,16.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.773,21.797,18.733,3.04,15.251,0.023,3.192,2.519,0.636,0.142,17.677,0.613,2.631,12.387,0.065,1.198,NA,0.269,0.811,0.005,0.228,0.048,0.18,0.003,0.102,0.056,0.024,0.018,0.262,0.284,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,MEVW,M01524095,Ankrd9:Hom,Hom,Male,2013-10-13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.48079795,97.405,51.956,85.593,14.1,83.153,0.117,14.955,77.799,20.854,4.692,45.054,4.945,19.262,64.544,0.453,2.595,NA,23.637,66.208,0.086,0.385,75.043,25.803,72.821,1.147,24.957,48.621,30.69,22.759,0.732,52.739,47.578,11.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.326,22.511,19.268,2.717,16.022,0.023,3.367,2.619,0.702,0.158,19.52,0.965,3.76,12.599,0.088,1.154,NA,0.273,0.764,0.001,0.289,0.075,0.21,0.003,0.096,0.047,0.029,0.022,0.386,0.348,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,MEVW,M01524098,Ankrd9:Hom,Hom,Female,2013-10-13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2218529,97.296,53.678,88.484,18.757,77.348,0.064,11.879,74.966,23.261,3.784,43.283,4.008,11.833,66.652,0.065,2.704,NA,23.416,63.103,0.156,0.372,55.254,33.597,63.708,1.268,44.746,72.603,18.787,12.133,0.454,55.237,45.05,14.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.972,24.14,21.36,4.007,16.522,0.014,2.868,2.15,0.667,0.109,19.465,0.78,2.303,12.974,0.013,1.25,NA,0.293,0.789,0.002,0.206,0.069,0.131,0.003,0.167,0.121,0.031,0.02,0.251,0.205,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,MEVW,M01524100,Ankrd9:Hom,Hom,Female,2013-10-13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.51092944,97.477,51.943,88.587,19.954,75.822,0.061,11.868,79.009,19.509,3.382,45.314,4.029,10.548,64.95,0.089,2.523,NA,21.821,64.17,0.216,0.353,51.374,22.103,76.649,1.248,48.626,75.706,15.254,10.923,0.467,52.177,47.754,13.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.312,24.056,21.311,4.252,16.158,0.013,2.855,2.256,0.557,0.097,20.986,0.846,2.214,13.63,0.019,1.199,NA,0.262,0.769,0.003,0.181,0.04,0.139,0.002,0.171,0.13,0.026,0.019,0.244,0.223,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klc2,MFAT,M01527302,Klc2:Hom,Hom,Female,2013-10-24,16.4,33.87,2.534,96.927,91.419,2.8,NA,NA,1.841,0.867,94.219,0.858,32.829,31.021,0.919,NA,NA,NA,NA,55.039,97.756,51.859,93.231,21.622,76.709,0.323,6.627,73.294,26.029,4.549,45.659,5.148,12.908,70.46,0.336,2.244,NA,24.415,64.405,0.208,0.363,56.89,23.447,76.553,2.019,43.11,64.549,29.303,29.303,0.564,39.465,61.39,21.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.804,27.902,26.013,5.625,19.955,0.084,1.849,1.355,0.481,0.084,24.566,1.265,3.171,17.309,0.083,1.235,NA,0.301,0.795,0.003,0.207,0.048,0.158,0.004,0.157,0.101,0.046,0.046,0.223,0.346,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klc2,MFAT,M01527303,WT,WT,Female,2013-10-23,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.103,97.442,50.52,93.602,23.261,74.388,0.227,6.251,73.546,26.089,3.129,47.615,7.79,11.421,58.864,0.177,2.558,NA,34.088,50.046,0.092,0.23,81.037,38.047,62.795,1.178,18.963,64.029,28.777,23.741,0.434,56.544,44.107,20.824,3.063,0.079,1.384,NA,NA,1.132,25.067,23.839,76.161,80.066,1.647,15,51.744,26.141,24.469,5.692,18.202,0.056,1.634,1.202,0.426,0.051,24.638,1.919,2.814,14.503,0.044,1.358,NA,0.463,0.68,0.001,0.186,0.071,0.117,0.002,0.044,0.028,0.013,0.01,0.245,0.191,0.09,0.002,0.042,NA,NA,0.035,0.768,0.183,0.585,0.468,0.01,0.001
Klc2,MFAT,M01527304,WT,WT,Female,2013-10-23,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.045,97.724,55.094,93.127,19.44,78.272,0.336,6.71,78.477,21.059,5.249,43.271,5.124,9.425,67.337,0.334,2.276,NA,28.626,57.658,0.457,0.208,74.663,30.321,70.281,1.205,25.337,63.314,27.811,17.751,0.584,44.807,55.621,30.407,3.102,0.114,2.66,NA,NA,5.138,31.985,18.479,81.521,79.861,1.482,0,52.815,29.098,27.098,5.268,21.21,0.091,1.952,1.532,0.411,0.102,22.853,1.171,2.154,15.389,0.076,1.23,NA,0.352,0.709,0.006,0.156,0.047,0.109,0.002,0.053,0.033,0.015,0.009,0.262,0.325,0.177,0.004,0.082,NA,NA,0.159,0.992,0.183,0.809,0.646,0.012,0
Klc2,MFAT,M01527306,WT,WT,Male,2013-10-23,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.87,97.316,51.517,91.085,23.213,74.734,0.337,8.768,67.428,31.983,4.283,46.13,5.69,16.64,58.527,0.274,2.684,NA,28.12,63.607,0.146,0.268,86.587,13.693,86.584,0.83,13.413,66.964,23.214,17.857,0.816,35.232,65.279,13.59,3.409,0.134,0.504,NA,NA,1.041,46.013,22.875,77.125,81.22,2.034,4.651,39.773,20.49,18.663,4.332,13.948,0.063,1.796,1.211,0.575,0.077,18.347,1.044,3.053,10.738,0.05,1.097,NA,0.308,0.698,0.002,0.232,0.032,0.201,0.002,0.036,0.024,0.008,0.006,0.288,0.533,0.111,0.005,0.017,NA,NA,0.035,1.568,0.359,1.21,0.982,0.025,0.001
Klc2,MFAT,M01527309,Klc2:Hom,Hom,Male,2013-10-24,16.4,33.914,1.74,97.906,94.304,1.646,NA,NA,0.913,1.043,95.95,0.59,33.204,32.008,0.547,NA,NA,NA,NA,50.68,97.751,52.556,91.176,17.051,80.955,0.25,8.7,67.017,32.111,3.863,45.413,4.368,12.411,66.99,0.209,2.249,NA,28.503,61.936,0.448,0.231,73.785,16.567,83.633,0.998,26.215,52.809,35.955,22.472,0.636,37.634,62.741,15.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.54,26.036,23.739,4.048,19.218,0.059,2.265,1.518,0.727,0.088,22.498,0.983,2.792,15.071,0.047,1.14,NA,0.325,0.706,0.005,0.171,0.028,0.143,0.002,0.061,0.032,0.022,0.014,0.239,0.399,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klc2,MFAT,M01527311,Klc2:Hom,Hom,Female,2013-10-24,16.4,38.961,2.102,97.43,91.814,3.272,NA,NA,1.513,0.831,95.086,0.819,37.959,35.828,1.242,NA,NA,NA,NA,50.129,97.394,54.549,91.026,19.324,79.076,0.218,8.837,64.251,34.948,3.736,43.186,3.853,11.082,77.116,0.267,2.606,NA,23.486,68.63,0.24,0.313,51.807,26.938,73.45,2.713,48.193,60.833,28.75,26.042,0.463,48.269,52.614,19.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.823,26.633,24.243,4.685,19.17,0.053,2.353,1.512,0.822,0.088,21.085,0.812,2.337,16.26,0.056,1.306,NA,0.307,0.897,0.003,0.162,0.044,0.119,0.004,0.151,0.092,0.043,0.039,0.223,0.243,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exoc3l2,MUAU,M01527573,Exoc3l2(b):Het,Het,Male,2013-10-23,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.028,97.919,55.193,91.054,20.482,75.989,0.208,8.802,64.988,34.507,3.521,43.014,9.555,10.343,43.353,0.135,2.081,NA,36.786,52.339,0.152,0.237,79.048,30.981,69.363,0.344,20.952,76.623,19.481,8.442,0.552,48.57,52.189,14.653,3.004,0.178,0.406,NA,NA,0.813,41.658,20.329,79.671,57.613,30.528,41.855,49.966,27.578,25.111,5.143,19.082,0.052,2.427,1.577,0.838,0.085,21.492,2.054,2.223,9.317,0.029,1.062,NA,0.391,0.556,0.002,0.187,0.058,0.13,0.001,0.05,0.038,0.01,0.004,0.268,0.288,0.081,0.005,0.012,NA,NA,0.024,1.251,0.254,0.997,0.574,0.304,0.127
BC023829,MECU,M01531745,WT,WT,Male,2013-10-23,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.443,97.834,52.818,92.596,20.482,77.599,0.2,7.291,73.771,25.676,3.626,45.342,6.189,15.066,59.238,0.174,2.166,NA,29.331,62.728,0.192,0.241,82.745,25.592,74.724,0.632,17.255,77.273,19.697,13.636,0.564,46.845,53.657,16.248,2.847,0.417,0.453,NA,NA,1.487,43.02,21.239,78.761,26.752,68.753,46.459,44.459,23.482,21.744,4.454,16.873,0.043,1.712,1.263,0.44,0.062,20.159,1.248,3.037,11.942,0.035,0.984,NA,0.289,0.617,0.002,0.199,0.051,0.149,0.001,0.042,0.032,0.008,0.006,0.264,0.303,0.092,0.012,0.013,NA,NA,0.042,1.225,0.26,0.965,0.258,0.663,0.308
BC023829,MECU,M01531747,WT,WT,Male,2013-10-23,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.642,97.925,51.423,92.768,19.884,78.31,0.327,7.107,76.976,22.628,4.957,46.586,4.882,19.622,59.564,0.265,2.075,NA,28.486,61.545,0.824,0.364,91.138,20.4,80.076,0.858,8.862,54.902,38.235,32.353,0.617,44.541,55.766,12.968,3.236,0.398,0.515,NA,NA,1.428,42.921,24.264,75.736,27.358,68.035,48.254,52.528,27.011,25.058,4.983,19.623,0.082,1.92,1.478,0.434,0.095,24.471,1.195,4.802,14.576,0.065,1.113,NA,0.317,0.685,0.009,0.332,0.068,0.266,0.003,0.032,0.018,0.012,0.01,0.275,0.344,0.08,0.013,0.017,NA,NA,0.046,1.389,0.337,1.052,0.288,0.716,0.345
Tceal5,MUAM,M01532666,Tceal5(b):Hom,Hom,Female,2013-10-13,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.09412954,97.551,51.987,88.74,19.005,75.846,0.108,11.692,82.775,15.936,4.191,45.128,3.936,11.471,65.272,0.101,2.449,NA,24.505,57.597,0.112,0.332,63.043,30.564,67.712,2.038,36.957,59.626,26.471,18.984,0.524,57.769,42.607,16.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.916,24.39,21.644,4.113,16.416,0.023,2.852,2.36,0.454,0.12,21.172,0.833,2.429,13.82,0.021,1.178,NA,0.289,0.678,0.001,0.209,0.064,0.142,0.004,0.123,0.073,0.033,0.023,0.303,0.223,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mcf2l,MFPT,M01536301,Mcf2l:Hom,Hom,Male,2013-10-23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.86,97.228,55.008,90.913,25.345,71.243,0.238,8.96,75.197,24.192,5.031,42.979,7.223,15.168,50.482,0.275,2.772,NA,38.216,52.084,0.25,0.274,71.461,18.841,81.481,0.483,28.539,61.694,27.419,33.468,0.825,40.236,60.259,17.391,3.394,0.104,0.499,NA,NA,1.06,55.537,20.352,79.648,25.881,70.315,53.307,39.728,21.854,19.868,5.035,14.154,0.047,1.958,1.472,0.474,0.099,17.075,1.233,2.59,8.62,0.047,1.132,NA,0.433,0.59,0.003,0.195,0.037,0.159,0.001,0.078,0.048,0.021,0.026,0.332,0.497,0.144,0.004,0.017,NA,NA,0.036,1.885,0.384,1.501,0.389,1.056,0.563
Mcf2l,MFPT,M01536303,Mcf2l:Hom,Hom,Male,2013-10-23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.189,97.547,53.164,92.249,18.716,79.041,0.212,7.596,68.781,30.62,3.725,44.529,5.504,13.318,60.999,0.155,2.453,NA,35.191,55.471,0.233,0.219,81.818,22.222,78.343,0.565,18.182,61.864,29.661,21.186,0.683,39.614,60.93,13.947,18.108,0.032,0.075,NA,NA,0.512,5.257,17.779,82.221,20.05,76.388,53.362,46.031,24.472,22.575,4.225,17.844,0.048,1.859,1.279,0.569,0.069,20.497,1.128,2.73,12.503,0.032,1.158,NA,0.407,0.642,0.003,0.179,0.04,0.141,0.001,0.04,0.025,0.012,0.008,0.271,0.416,0.095,0.006,0.014,NA,NA,0.093,0.952,0.169,0.783,0.157,0.598,0.319
Mcf2l,MFPT,M01536305,Mcf2l:Hom,Hom,Female,2013-10-23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.894,0.055,0.793,NA,NA,4.387,39.889,22.551,77.449,49.165,47.017,30.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.023,NA,NA,0.127,1.154,0.26,0.894,0.44,0.42,0.128
Mcf2l,MFPT,M01536306,Mcf2l:Hom,Hom,Female,2013-10-23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.171,97.67,55.898,92.67,23.376,73.176,0.253,7.189,70.415,28.822,4.455,42.41,5.793,9.59,55.769,0.194,2.33,NA,31.329,54.639,0.411,0.239,76.133,28.371,72.154,0.876,23.867,85.475,11.173,8.38,0.611,49.218,51.251,16.736,3.334,0.057,0.699,NA,NA,1.97,39.008,17.298,82.702,63.956,27.983,29.695,51.932,29.029,26.901,6.289,19.685,0.068,2.087,1.47,0.602,0.093,22.024,1.276,2.112,12.283,0.043,1.239,NA,0.388,0.677,0.005,0.182,0.052,0.131,0.002,0.057,0.049,0.006,0.005,0.301,0.313,0.102,0.002,0.023,NA,NA,0.066,1.301,0.225,1.076,0.688,0.301,0.089
Sgms1,MEBK,M01536876,Sgms1:Hom,Hom,Female,2013-10-23,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.149,98.137,56.826,94.998,31.723,62.393,0.168,4.777,88.63,10.704,3.889,41.911,9.8,9.32,52.34,0.06,1.863,NA,45.445,32.044,0.212,0.171,80.546,75.424,24.576,0.424,19.454,70.175,21.053,22.807,0.611,62.846,38.013,21.585,22.578,0,0.121,NA,NA,0.121,1.605,10.377,89.623,70,20.526,7.692,58.047,32.986,31.336,9.941,19.551,0.053,1.576,1.397,0.169,0.061,24.328,2.384,2.267,12.733,0.015,1.102,NA,0.501,0.353,0.002,0.138,0.104,0.034,0.001,0.033,0.023,0.007,0.008,0.384,0.232,0.132,0,0.027,NA,NA,0.027,0.362,0.038,0.325,0.227,0.067,0.005
Pthlh,MFMW,M01537609,WT,WT,Female,2013-10-23,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.294,97.14,54.108,93.836,29.234,66.298,0.151,6.032,78.236,20.888,3.586,43.992,10.702,6.859,38.688,0.085,2.86,NA,35.952,47.643,0.347,0.254,80.402,33.906,67.5,0.781,19.598,59.615,29.487,16.667,0.491,53.186,47.399,23.732,3.183,0.048,1.976,NA,NA,1.571,29.286,25.122,74.878,39.957,56.135,33.849,46.913,25.384,23.819,6.963,15.792,0.036,1.531,1.198,0.32,0.055,20.638,2.209,1.416,7.984,0.018,1.381,NA,0.497,0.658,0.005,0.204,0.069,0.138,0.002,0.05,0.03,0.015,0.008,0.261,0.233,0.117,0.002,0.063,NA,NA,0.05,0.932,0.234,0.698,0.279,0.392,0.133
Pdk3,MFKA,M01539394,Pdk3:Hom,Hom,Female,2013-10-31,15.9,25.292,NA,95.387,91.356,1.697,NA,NA,0.383,1.951,93.053,NA,24.126,23.154,0.409,NA,NA,NA,NA,70.152,98.03,55.217,91.69,24.031,73.085,0.276,8.179,80.052,19.384,3.203,43.262,8.283,8.209,59.105,0.27,1.97,NA,36.434,42.213,0.062,0.288,41.691,55.872,44.128,0.712,58.309,62.341,18.575,38.422,0.345,71.57,29.543,19.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.77,37.973,34.817,8.367,25.446,0.096,3.106,2.486,0.602,0.099,29.751,2.464,2.442,17.584,0.08,1.382,NA,0.503,0.583,0.001,0.12,0.067,0.053,0.001,0.168,0.105,0.031,0.064,0.247,0.102,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bpifb5,MFGS,M01539423,Bpifb5:Hom,Hom,Male,2013-10-24,16.1,38.737,1.782,97.9,93.713,1.362,NA,NA,2.302,0.523,95.075,0.69,37.923,36.335,0.517,NA,NA,NA,NA,38.058,97.022,54.732,90.123,17.952,79.407,0.325,9.731,67.586,31.281,4.196,42.082,4.672,13.904,62.039,0.415,2.978,NA,33.842,60.288,1.115,0.218,66.667,22.706,77.294,1.835,33.333,56.422,38.532,15.596,0.529,36.706,63.985,16.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.925,20.21,18.214,3.27,14.463,0.059,1.967,1.329,0.615,0.083,15.539,0.726,2.161,9.64,0.065,1.133,NA,0.384,0.683,0.013,0.145,0.033,0.112,0.003,0.073,0.041,0.028,0.011,0.194,0.339,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
