Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Dynlrb2,MFYF,M01813282,Dynlrb2:Het,Het,Female,2014-08-18,15.7,13.275,15.115,7.999,7.116,30.914,11.988,28.727,2.849,3.244,1.717,1.527,6.635,2.573,6.166,21.463,44.393,28.785,0.257,5.03,NA
Fam46c,MUFH,M02019042,Fam46c(b):Het,Het,Female,2015-04-20,16.1,12.205,16.954,6.328,10.626,35.145,13.678,19.895,3.399,4.722,1.762,2.959,9.788,3.809,5.541,27.85,45.882,23.586,0.159,2.442,NA
Klhl18,MFEM,M01569058,Klhl18:Hom,Hom,Female,2013-11-28,16,26.635,24.462,NA,NA,23.932,9.795,12.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mybphl,MUAF,M01655373,Mybphl(b):Het,Het,Male,2014-03-03,15.7,9.707,22.357,NA,NA,28.558,12.142,25.498,1.702,3.92,NA,NA,5.008,2.129,4.471,17.536,41.898,36.67,NA,2.696,1.142
Gtf2a1,MDEG,M01676584,Gtf2a1:Het,Het,Male,2014-03-19,16,5.858,29.993,NA,NA,27.761,11.925,23.658,2.101,10.756,NA,NA,9.955,4.276,8.484,35.862,40.862,17.014,NA,2.617,3.639
Dennd1b,MFVH,M01702501,Dennd1b:Hom,Hom,Female,2014-04-28,15.7,6.492,28.179,NA,NA,31.74,12.501,20.544,1.403,6.091,NA,NA,6.86,2.702,4.44,21.614,46.355,28.241,NA,2.616,1.172
Traf2,MFVP,M01767331,Traf2:Het,Het,Female,2014-07-10,15.9,14.109,24.492,8.75,15.742,24.203,9.133,27.078,3.025,5.251,1.876,3.375,5.189,1.958,5.805,21.44,46.791,28.191,0.145,3.21,NA
Pitrm1,MFXT,M01777410,WT,WT,Male,2014-07-14,15.7,11.97,17.855,10.686,7.169,31.55,14.032,24.854,1.929,2.877,1.722,1.155,5.084,2.261,4.005,16.113,55.943,24.94,0.119,2.551,NA
Cxcr2,MFFS,M01782631,Cxcr2:Hom,Hom,Male,2014-07-21,16,20.66,10.105,7.773,2.332,24.998,12.715,30.669,0.718,0.351,0.27,0.081,0.868,0.442,1.065,3.474,61.476,32.813,0.167,1.565,NA
Mpg,MGJL,M01790990,Mpg:Hom,Hom,Male,2014-08-06,15.9,10.289,19.46,14.738,4.722,29.663,13.585,27.51,2.122,4.013,3.039,0.974,6.117,2.802,5.673,20.622,52.325,23.72,0.07,3.192,NA
Erlin2,MFKU,M01806322,Erlin2:Hom,Hom,Male,2014-08-26,16.3,10.567,19.514,11.793,7.721,34.519,14.296,21.045,2.128,3.929,2.374,1.555,6.95,2.878,4.237,20.134,52.215,25.031,0.142,2.364,NA
Ndufb8,MFHG,M01812234,Ndufb8:Het,Het,Female,2014-08-28,16.1,13.715,28.489,9.061,19.428,23.352,11.066,23.409,3.203,6.654,2.116,4.538,5.454,2.585,5.468,23.357,46.863,25.092,0.166,4.448,NA
Aldh1b1,MGER,M01825890,Aldh1b1:Hom,Hom,Female,2014-09-03,15.6,13.277,15.144,6.906,8.238,34.923,16.4,20.069,3.261,3.72,1.696,2.024,8.579,4.029,4.93,24.565,43.45,27.837,0.357,3.722,NA
Il1r2,MGES,M01854868,Il1r2:Hom,Hom,Female,2014-10-15,16,17.912,19.444,9.478,9.965,29.533,11.692,21.8,3.718,4.036,1.967,2.068,6.13,2.427,4.525,20.755,45.925,29.709,0.3,3.224,NA
5730559C18Rik,MGHU,M01873198,5730559C18Rik:Hom,Hom,Male,2014-10-29,16.1,15.496,9.783,6.288,3.495,23.791,10.521,40.721,2.086,1.317,0.846,0.47,3.202,1.416,5.481,13.459,59.929,23.94,0.13,2.497,NA
Fam69a,MGKX,M01880271,Fam69a :Hom,Hom,Male,2014-11-05,15.9,10.502,9.322,7.721,1.6,25.255,16.086,39.276,1.748,1.551,1.285,0.266,4.203,2.677,6.536,16.642,62.96,17.312,0.12,2.905,NA
Repin1,MFTS,M01873606,Repin1:Hom,Hom,Male,2014-11-10,16.1,28.596,7.566,5.656,1.909,14.603,8.212,40.964,1.608,0.425,0.318,0.107,0.821,0.462,2.303,5.622,70.52,21.226,0.117,2.473,NA
Psph,MGJF,M01893093,Psph:Het,Het,Female,2014-11-17,15.9,11.357,14.041,8.763,5.278,27.507,11.885,35.53,2.517,3.112,1.942,1.17,6.096,2.634,7.874,22.162,50.874,22.869,0.217,3.796,NA
Pigf,MGLS,M01890655,Pigf:Het,Het,Male,2014-11-24,16.1,11.469,16.863,8.558,8.305,24.243,11.52,33.595,1.685,2.478,1.257,1.22,3.562,1.692,4.936,14.692,NA,25.585,0.186,2.998,NA
Fbf1,MFGV,M01898954,Fbf1:Hom,Hom,Male,2014-11-26,15.9,12.835,19.993,13.996,5.998,27.092,11.491,28.441,1.932,3.009,2.106,0.903,4.077,1.729,4.28,15.05,60.259,21.599,0.212,2.835,NA
Tmem30a,MGNA,M01902890,WT,WT,Female,2014-12-15,15.9,8.399,25.698,11.403,14.295,24.584,10.934,28.634,2.698,8.254,3.663,4.592,7.896,3.512,9.197,32.12,41.67,21.078,0.387,4.729,NA
Tram2,MFKX,M01919689,WT,WT,Female,2014-12-22,15.4,11.917,19.387,5.769,13.618,19.738,10.402,38.391,2.65,4.311,1.283,3.028,4.389,2.313,8.537,22.238,51.224,21.604,0.268,4.564,NA
Lrrc23,MGQT,M01968470,WT,WT,Female,2015-02-25,15.9,17.897,4.533,1.655,2.878,13.57,8.674,54.863,3.054,0.774,0.282,0.491,2.316,1.48,9.364,17.067,56.106,19.427,0.411,6.903,NA
Slc25a20,MERS,M01912899,Slc25a20:Het,Het,Female,2014-12-17,16.3,8.099,21.466,9.594,11.871,32.582,13.376,23.867,2.79,7.395,3.305,4.089,11.224,4.608,8.222,34.449,43.718,18.202,0.276,3.387,NA
Cttnbp2,MUDC,M01983548,Cttnbp2(b):Hom,Hom,Male,2015-03-04,15.7,12.15,33.586,21.574,12.012,21.027,9.012,23.079,6.79,18.77,12.057,6.713,11.751,5.037,12.898,55.886,18.351,17.973,0.678,6.735,NA
Pigf,MGLS,M01991169,Pigf:Het,Het,Female,2015-03-23,16.1,13.714,38.508,15.333,23.175,25.682,10.276,10.891,3.598,10.102,4.023,6.08,6.737,2.696,2.857,26.234,42.687,29.053,0.255,1.602,NA
Galnt18,MUEL,M02003860,Galnt18(b):Hom,Hom,Female,2015-03-30,16,12.545,24.655,8.046,16.609,28.657,9.753,22.222,3.039,5.973,1.949,4.024,6.942,2.363,5.383,24.226,42.839,28.57,0.168,4.041,NA
Pepd,MFPW,M02002142,Pepd:Hom,Hom,Female,2015-04-01,15.7,9.375,28.587,12.122,16.465,19.634,8.007,33.686,2.215,6.753,2.863,3.889,4.638,1.891,7.957,23.622,44.403,27.2,0.104,4.561,NA
Tead3,MFNP,M02011078,WT,WT,Male,2015-04-06,15.7,12.329,41.938,24.442,17.496,21.695,8.752,14.832,2.625,8.93,5.205,3.726,4.62,1.864,3.158,21.294,51.73,24.92,0.051,1.877,NA
Enthd2,MUFN,M02011392,Enthd2(b):Hom,Hom,Male,2015-04-09,16.1,8.496,44.112,29.57,14.542,17.624,7.998,20.879,2.103,10.921,7.321,3.6,4.363,1.98,5.169,24.757,48.126,24.612,0.063,2.354,NA
Fnip2,MGSD,M02035472,Fnip2:Hom,Hom,Male,2015-05-07,16.3,10.181,29.495,18.553,10.941,26.61,8.565,24.179,2.27,6.575,4.136,2.439,5.932,1.909,5.39,22.294,51.264,23.593,0.14,2.538,NA
Fam46c,MUFH,M02054752,Fam46c(b):Het,Het,Male,2015-05-28,16,11.565,20.956,5.102,15.854,38.821,15.933,11.467,2.989,5.417,1.319,4.098,10.034,4.118,2.964,25.848,49.365,21.023,0.189,3.446,NA
ENSMUSG00000065551,MOAD,M02059974,mir-210:Hom,Hom,Male,2015-06-01,15.7,9.158,25.943,16.45,9.493,32.324,11.817,18.949,1.886,5.342,3.387,1.954,6.656,2.433,3.901,20.59,49.899,27.326,0.141,1.953,NA
Eif3h,MGLM,M02119705,Eif3h:Het,Het,Male,2015-08-12,15.7,9.051,34.791,20.665,14.126,25.494,8.143,21.738,2.815,10.819,6.426,4.393,7.928,2.532,6.76,31.098,38.208,26.925,0.406,3.117,NA
Irak1,PMBE,M02156818,Irak1(b):Hom,Hom,Female,2015-09-23,15.9,6.814,37.583,22.689,14.894,33.406,11.573,11.92,1.642,9.057,5.468,3.589,8.05,2.789,2.873,24.098,48.135,25.596,0.234,1.986,NA
Pigl,MUFF,M02158783,WT,WT,Male,2015-09-28,16.1,11.153,57.553,45.121,12.432,12.525,6.087,15.49,2.164,11.165,8.753,2.412,2.43,1.181,3.005,19.4,50.346,28.109,0.155,1.938,NA
Ifi27,MUHL,M02167113,Ifi27(b):Hom,Hom,Female,2015-10-05,16,13.819,44.046,23.043,21.003,20.092,8.123,13.456,3.726,11.877,6.213,5.663,5.418,2.19,3.628,26.964,43.234,25.481,0.29,3.977,NA
Slc16a4,MELU,M02173824,Slc16a4:Hom,Hom,Male,2015-10-12,15.9,11.521,40.491,33.539,6.952,25.659,9.313,16.081,2.105,7.396,6.127,1.27,4.687,1.701,2.937,18.267,50.253,29.584,0.172,1.732,NA
Arhgap17,PMAP,M02187456,Arhgap17(b):Hom,Hom,Female,2015-11-02,16,14.326,22.439,13.744,8.695,37.653,12.486,11.31,3.52,5.514,3.377,2.136,9.252,3.068,2.779,24.571,44.704,27.653,0.256,2.812,NA
Trim21,DAAM,M02221489,trim21:Hom,Hom,Female,2015-12-14,15.9,17.296,28.295,18.967,9.328,22.85,11.505,20.034,3.247,5.312,3.561,1.751,4.29,2.16,3.761,18.775,49.797,27.661,0.251,3.499,NA
Rwdd1,MUEC,M02339246,WT,WT,Male,2016-05-16,15.7,7.198,18.293,18.014,0.278,41.719,15.267,19.29,1.94,4.929,4.854,0.075,11.242,4.114,5.198,26.948,46.993,23.343,0.203,2.428,NA
Tmem18,PMBA,M02350128,Tmem18(b):Hom,Hom,Female,2016-05-18,15.7,7.949,16.005,14.931,1.074,43.165,16.565,17.351,2.844,5.727,5.343,0.384,15.447,5.928,6.209,35.785,38.916,21.376,0.232,3.651,NA
Cfap53,DAAP,M02353062,Cfap53:Het,Het,Female,2016-06-06,16.1,17.261,37.301,36.33,0.97,17.335,8.972,15.585,3.442,7.437,7.244,0.194,3.456,1.789,3.108,19.939,49.208,25.818,0.578,4.243,NA
Aicda,PMAV,M02374633,Aicda(b):Hom,Hom,Female,2016-06-22,16.1,12.783,16.123,14.871,1.251,24.891,11.667,33.267,2.959,3.732,3.442,0.29,5.761,2.7,7.7,23.145,45.651,26.87,0.308,3.864,NA
Timmdc1,MUHV,M02373121,Timmdc1(b):Het,Het,Female,2016-06-27,16.1,8.933,23.691,21.406,2.285,29.56,11.386,23.912,1.857,4.926,4.451,0.475,6.146,2.367,4.972,20.791,46.701,29.206,0.185,3.12,NA
Adcy2,MDZW,M01575775,Adcy2:Hom,Hom,Male,2013-11-29,15.7,17.551,NA,NA,NA,29.727,7.838,19.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prame,MEJQ,M01570504,Prame:Hom,Hom,Female,2013-11-28,15.9,28.766,27.672,NA,NA,17.118,5.916,13.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klhl18,MFEM,M01569055,Klhl18:Hom,Hom,Male,2013-11-28,16,18.892,25.15,NA,NA,11.801,6.028,10.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crb2,MFET,M01575117,WT,WT,Female,2013-11-28,16.1,18.989,35.108,NA,NA,14.28,5.609,17.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zfp791,MFHR,M01571519,Zfp791:Hom,Hom,Male,2013-11-28,16.3,21.381,17.965,NA,NA,14.08,8.173,34.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dpy30,MFKN,M01560003,WT,WT,Male,2013-11-28,16.4,26.852,27.383,NA,NA,20.08,8.164,16.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dpy30,MFKN,M01560002,WT,WT,Male,2013-11-28,16.4,21.999,23.593,NA,NA,25.94,9.814,17.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klc2,MFAT,M01559732,Klc2:Hom,Hom,Male,2013-11-28,16.3,23.238,20.778,NA,NA,19.777,9.22,25.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N6amt2,MFTF,M01562581,WT,WT,Male,2013-11-28,16,20.588,30.634,NA,NA,21.201,7.936,16.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dusp5,MFAJ,M01568118,Dusp5:Hom,Hom,Male,2013-11-28,16.1,19.039,32.515,NA,NA,16.778,7.477,17.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mkrn2,MUBL,M01562235,WT,WT,Female,2013-11-28,16.1,20.503,26.745,NA,NA,21.174,9.343,17.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klhl18,MFEM,M01569057,Klhl18:Hom,Hom,Female,2013-11-28,16,28.973,27.967,NA,NA,19.18,7.351,12.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crb2,MFET,M01567194,WT,WT,Female,2013-11-28,16.3,18.068,30.133,NA,NA,11.882,5.388,16.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dusp5,MFAJ,M01568121,Dusp5:Hom,Hom,Female,2013-11-28,16.1,29.01,30.472,NA,NA,14.087,5.518,14.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Usp11,MFVM,M01557399,Usp11:Hom,Hom,Female,2013-11-21,16,10.556,18.54,NA,NA,26.985,10.315,30.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Usp11,MFVM,M01557396,Usp11:Hemi,Hom,Male,2013-11-21,16,12.15,16.665,NA,NA,35.883,13.723,20.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leprot,MUAX,M01563955,Leprot(b):Hom,Hom,Male,2013-11-21,15.7,14.56,16.844,NA,NA,32.521,11.64,22.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anxa9,MUBO,M01558291,Anxa9(b):Hom,Hom,Female,2013-11-21,16,11.157,20.748,NA,NA,30.781,10.847,24.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leprot,MUAX,M01563940,Leprot(b):Hom,Hom,Female,2013-11-21,15.7,9.796,20.518,NA,NA,34.031,12.916,20.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anxa9,MUBO,M01558289,Anxa9(b):Hom,Hom,Female,2013-11-21,16,10.336,24.914,NA,NA,26.498,8.183,25.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leprot,MUAX,M01563945,Leprot(b):Hom,Hom,Female,2013-11-21,15.9,12.422,19.872,NA,NA,27.421,8.647,28.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anxa9,MUBO,M01558286,Anxa9(b):Hom,Hom,Male,2013-11-21,16,8.658,21.117,NA,NA,28.278,8.605,25.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Med22,MFHW,M01570262,Med22:Het,Het,Female,2013-11-21,15.7,18.431,13.002,NA,NA,32.109,11.156,22.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anxa9,MUBO,M01558285,Anxa9(b):Hom,Hom,Male,2013-11-21,16,8.148,28.453,NA,NA,28.106,9.926,23.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Med22,MFHW,M01565999,Med22:Het,Het,Female,2013-11-21,15.7,12.873,15.693,NA,NA,21.813,7.77,34.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smpd4,MUBD,M01563975,Smpd4(b):Het,Het,Male,2013-11-29,16,16.848,29.41,NA,NA,28.102,6.404,18.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atp8b2,MFFN,M01574141,Atp8b2:Het,Het,Male,2013-11-29,16,15.918,22.256,NA,NA,26.882,7.905,25.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tmem126a,MEJS,M01571303,Tmem126a:Hom,Hom,Female,2013-11-29,16,15.514,25.227,NA,NA,30.592,6.961,20.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atp8b2,MFFN,M01574142,Atp8b2:Het,Het,Male,2013-11-29,16,16.559,27.663,NA,NA,23.377,7.433,24.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adcy2,MDZW,M01575773,Adcy2:Hom,Hom,Male,2013-11-29,15.7,10.65,22.092,NA,NA,40.512,9.181,17.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Art4,MFCP,M01568275,Art4:Hom,Hom,Female,2013-11-29,15.9,19.158,23.023,NA,NA,33.293,7.34,15.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smpd4,MUBD,M01563977,Smpd4(b):Het,Het,Male,2013-11-29,16,27.151,27.097,NA,NA,23.2,4.64,17.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smpd4,MUBD,M01565782,Smpd4(b):Het,Het,Male,2013-11-29,15.7,21.849,23.785,NA,NA,24.588,6.057,22.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adcy2,MDZW,M01575755,Adcy2:Hom,Hom,Female,2013-11-29,15.4,18.218,22.635,NA,NA,32.442,9.079,17.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ydjc,MEYD,M01577125,Ydjc:Hom,Hom,Male,2013-11-29,16,16.76,22.954,NA,NA,28.627,7.887,22.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smpd4,MUBD,M01565852,Smpd4(b):Het,Het,Female,2013-11-29,15.7,19.16,27.464,NA,NA,29.615,7.159,15.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ydjc,MEYD,M01577127,Ydjc:Hom,Hom,Male,2013-11-29,16,10.47,31.035,NA,NA,20.547,5.554,22.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ydjc,MEYD,M01577131,Ydjc:Hom,Hom,Female,2013-11-29,16,16.176,18.454,NA,NA,34.286,9.507,20.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ydjc,MEYD,M01577132,Ydjc:Hom,Hom,Female,2013-11-29,16,6.792,34.62,NA,NA,48.606,10.555,1.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adcy2,MDZW,M01575748,Adcy2:Hom,Hom,Male,2013-11-29,15.4,14.795,21.455,NA,NA,25.881,8.009,29.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leprot,MUAX,M01574723,Leprot(b):Hom,Hom,Male,2013-12-04,16,9.172,32.557,NA,NA,24.845,10.161,22.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leprot,MUAX,M01574724,Leprot(b):Hom,Hom,Male,2013-12-04,16,21.156,14.207,NA,NA,26.133,10.673,25.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klc2,MFAT,M01566347,Klc2:Hom,Hom,Male,2013-12-04,16.3,14.652,15.631,NA,NA,18.937,9.929,38.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myo10,MFQX,M01565868,WT,WT,Male,2013-12-04,16.4,17.226,16.228,NA,NA,29.419,14.113,21.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dpy30,MFKN,M01574552,Dpy30:Het,Het,Female,2013-12-04,16.4,13.768,26.512,NA,NA,30.938,12.258,15.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atp8b2,MFFN,M01574151,Atp8b2:Hom,Hom,Male,2013-12-04,16.4,16.145,19.771,NA,NA,24.977,9.779,28.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atp8b2,MFFN,M01574152,Atp8b2:Hom,Hom,Male,2013-12-04,16.4,15.829,22.506,NA,NA,23.324,11.509,25.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dpy30,MFKN,M01574551,Dpy30:Het,Het,Female,2013-12-04,16.4,19.707,15.238,NA,NA,29.51,12.556,20.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ogdh,MFEE,M01573420,WT,WT,Male,2013-12-04,16.3,23.449,12.039,NA,NA,23.665,10.152,27.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ogdh,MFEE,M01573421,WT,WT,Male,2013-12-04,16.3,10.786,27.193,NA,NA,24.696,10.808,25.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ogdh,MFEE,M01573416,WT,WT,Female,2013-12-04,16.3,7.708,28.539,NA,NA,24.651,9.847,28.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ogdh,MFEE,M01573418,WT,WT,Female,2013-12-04,16.3,14.249,18.165,NA,NA,28.363,10.557,26.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ogdh,MFEE,M01573419,WT,WT,Female,2013-12-04,16.3,22.608,13.045,NA,NA,21.755,9.504,28.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pced1a,MUCD,M01660350,WT,WT,Female,2014-03-03,15.6,9.563,25.343,NA,NA,30.312,13.268,19.842,2.189,5.801,NA,NA,6.939,3.037,4.542,22.89,31.884,40.49,NA,3.172,1.528
Tctex1d2,MFYD,M01664549,WT,WT,Male,2014-03-03,15.7,9.295,26.756,NA,NA,22.34,10.511,29.046,1.48,4.26,NA,NA,3.557,1.674,4.625,15.923,39.542,39.774,NA,2.982,1.757
Tctex1d2,MFYD,M01664548,WT,WT,Male,2014-03-03,15.7,5.309,36.767,NA,NA,30.33,13.246,13.513,1.1,7.617,NA,NA,6.284,2.744,2.8,20.718,41.837,34.27,NA,1.348,1.809
Sgms1,MEBK,M01659561,WT,WT,Male,2014-03-03,15.7,6.962,21.562,NA,NA,34.791,13.656,21.366,1.476,4.57,NA,NA,7.374,2.894,4.528,21.195,45.764,29.83,NA,2.129,1.057
Pced1a,MUCD,M01660334,WT,WT,Female,2014-03-03,15.6,7.692,37.891,NA,NA,24.33,9.389,18.816,1.517,7.47,NA,NA,4.797,1.851,3.71,19.716,30.219,44.735,NA,3.365,1.922
Wnt16,MUBC,M01658056,Wnt16(b):Het,Het,Male,2014-03-03,16,9.301,21.112,NA,NA,28.314,12.634,26.622,1.747,3.966,NA,NA,5.318,2.373,5,18.782,45.041,32.607,NA,2.294,1.225
Wnt16,MUBC,M01658093,Wnt16(b):Het,Het,Female,2014-03-03,16,10.06,18.084,NA,NA,34.95,14.34,20.587,2.316,4.163,NA,NA,8.046,3.301,4.74,23.022,32.96,38.616,NA,3.714,1.651
Armc7,MUCC,M01656751,WT,WT,Female,2014-03-03,16,9.578,21.816,NA,NA,32.961,12.881,21.336,1.923,4.379,NA,NA,6.616,2.586,4.283,20.073,35.023,40.036,NA,3.306,1.535
Mybphl,MUAF,M01655324,Mybphl(b):Het,Het,Male,2014-03-03,16,9.161,18.711,NA,NA,29.117,12.939,27.761,1.739,3.552,NA,NA,5.527,2.456,5.269,18.98,46.838,30.763,NA,2.288,1.069
Bai1,MEMT,M01657064,Bai1:Hom,Hom,Male,2014-03-03,16.1,10.114,23.506,NA,NA,32.967,14.406,17.653,1.998,4.643,NA,NA,6.513,2.846,3.488,19.756,36.639,39.816,NA,2.318,1.409
Bai1,MEMT,M01657067,Bai1:Hom,Hom,Female,2014-03-03,16.1,13.696,11.842,NA,NA,31.226,13.611,27.813,2.027,1.753,NA,NA,4.622,2.015,4.117,14.802,36.166,43.698,NA,3.768,1.52
Lonrf3,MUAN,M01654802,Lonrf3(b):Hom,Hom,Female,2014-03-03,16,6.571,18.902,NA,NA,38.794,16.138,18.057,1.737,4.997,NA,NA,10.255,4.266,4.773,26.435,36.791,31.565,NA,3.794,1.374
Tomm20l,MUAR,M01658832,Tomm20l(b):Hom,Hom,Female,2014-03-03,16.1,9.228,29.787,NA,NA,29.763,13.174,16.594,1.963,6.336,NA,NA,6.332,2.802,3.53,21.273,32.296,40.902,NA,3.307,2.189
Uri1,MFEW,M01660996,Uri1:Hom,Hom,Female,2014-03-03,16.1,11.145,13.756,NA,NA,33.261,14.814,24.609,2.564,3.164,NA,NA,7.651,3.408,5.661,23.003,36.19,36.533,NA,2.869,1.365
Uri1,MFEW,M01660997,Uri1:Hom,Hom,Female,2014-03-03,16.1,7.669,13.404,NA,NA,42.856,17.842,16.796,2.198,3.841,NA,NA,12.281,5.113,4.813,28.657,34.841,33.177,NA,2.01,1.285
N6amt2,MFTF,M01664065,N6amt2:Hom,Hom,Male,2014-03-05,16,14.053,14.672,NA,NA,17.018,8.884,38.938,2.016,2.105,NA,NA,2.442,1.275,5.586,14.347,48.712,34.809,NA,1.694,0.417
1700011A15Rik,MFUU,M01660893,1700011A15Rik:Hom,Hom,Female,2014-03-05,16.3,17.226,18.191,NA,NA,15.327,8,37.584,2.884,3.046,NA,NA,2.566,1.34,6.293,16.745,40.139,39.585,NA,2.834,0.656
1700011A15Rik,MFUU,M01660894,1700011A15Rik:Hom,Hom,Female,2014-03-05,16.3,13.106,14.525,NA,NA,23.554,11.935,33.587,2.515,2.787,NA,NA,4.52,2.29,6.445,19.188,37.995,38.553,NA,3.206,0.868
Gm16515,MUBX,M01654492,Gm16515(b):Hom,Hom,Female,2014-03-05,16.3,12.171,8.686,NA,NA,14.903,5.665,52.003,1.883,1.344,NA,NA,2.306,0.876,8.046,15.472,43.584,37.923,NA,2.389,0.58
N6amt2,MFTF,M01664071,N6amt2:Hom,Hom,Female,2014-03-05,16,12.98,19.536,NA,NA,20.154,11.613,32.989,3.037,4.571,NA,NA,4.715,2.717,7.719,23.397,37.497,35.747,NA,2.416,0.898
Aldh3b1,MUBT,M01660556,Aldh3b1(b):Hom,Hom,Male,2014-03-05,16,9.608,19.481,NA,NA,18.184,9.961,37.408,1.847,3.745,NA,NA,3.496,1.915,7.191,19.224,39.915,38.063,NA,1.987,0.739
