Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Dclk1,MGKF,M02064694,Dclk1:Hom,Hom,Female,2015-06-10,15.7,11.211,34.85,12.271,22.579,24.796,8.173,15.048,3.009,9.355,3.294,6.061,6.656,2.194,4.039,26.843,41.055,28.509,0.153,3.139,NA
Dclk1,MGKF,M02064695,Dclk1:Hom,Hom,Female,2015-06-10,15.7,10.858,4.761,1.275,3.486,44.155,14.795,15.025,3.234,1.418,0.38,1.038,13.153,4.407,4.476,29.788,41.836,23.922,0.248,3.878,NA
Tead3,MFNP,M02069938,Tead3:Hom,Hom,Male,2015-06-10,16,8.752,36.932,21.087,15.845,26.048,9.058,15.904,1.973,8.327,4.754,3.572,5.873,2.042,3.586,22.546,47.129,27.774,0.079,2.191,NA
Wrap53,MUHT,M02068552,Wrap53(b):Het,Het,Female,2015-06-10,15.7,13.413,25.239,7.8,17.438,22.028,8.829,24.744,2.873,5.407,1.671,3.736,4.719,1.891,5.301,21.423,43.659,30.276,0.266,3.986,NA
Nipsnap3a,MUHU,M02065298,Nipsnap3a(b):Hom,Hom,Male,2015-06-10,16,10.351,17.815,6.41,11.405,33.981,13.997,18.405,2.862,4.925,1.772,3.153,9.395,3.87,5.088,27.647,39.51,28.788,0.267,3.428,NA
Ldlrad4,MUES,M02067644,Ldlrad4(b):Hom,Hom,Male,2015-06-10,15.9,13.828,26.068,13.315,12.753,20.824,8.411,26.374,2.395,4.515,2.306,2.209,3.607,1.457,4.568,17.321,54.464,24.885,0.102,2.897,NA
Slx4ip,MFAM,M02070490,Slx4ip:Hom,Hom,Male,2015-06-10,15.7,10.635,44.808,27.008,17.8,18.104,6.926,16.838,2.107,8.878,5.352,3.527,3.587,1.372,3.336,19.814,47.565,30.1,0.08,2.09,NA
Bpgm,MGRF,M02061447,Bpgm:Hom,Hom,Male,2015-06-10,16,8.751,25.442,15.375,10.067,26.06,11.136,25.606,1.495,4.346,2.626,1.72,4.452,1.902,4.374,17.083,51.41,28.82,0.095,2.312,NA
Zfp266,MUFY,M02067212,Zfp266(b):Hom,Hom,Male,2015-06-10,15.9,9.877,16.528,9.356,7.172,22.912,8.358,33.422,1.477,2.472,1.399,1.073,3.427,1.25,4.998,14.955,58.803,22.968,0.07,2.982,NA
Bpgm,MGRF,M02061471,Bpgm:Hom,Hom,Female,2015-06-10,16.1,10.025,29.531,7.964,21.567,24.191,9.2,24.093,1.928,5.68,1.532,4.148,4.653,1.77,4.634,19.233,41.382,36.07,0.131,2.797,NA
Slc38a2,MGDF,M02064446,Slc38a2:Het,Het,Male,2015-06-10,16,8.316,17.52,8.854,8.667,35.072,12.808,14.821,2.216,4.669,2.359,2.31,9.346,3.413,3.95,26.649,46.64,23.863,0.128,2.45,NA
Trim65,MUGH,M02074120,Trim65(b):Hom,Hom,Female,2015-06-15,15.7,11.02,20.177,6.258,13.919,33.444,8.798,24.703,2.62,4.798,1.488,3.31,7.952,2.092,5.874,23.777,45.181,26.942,0.182,3.83,NA
Cfap61,MGMN,M02070422,WT,WT,Male,2015-06-15,16,6.998,26.783,16.457,10.326,39.174,12.327,13.326,2.208,8.451,5.193,3.258,12.361,3.89,4.205,31.555,42.051,23.537,0.125,2.622,NA
Galntl5,MUGG,M02068270,Galntl5(b):Hom,Hom,Female,2015-06-15,16,13.245,11.982,3.65,8.332,35.752,13.1,24.799,3.352,3.032,0.924,2.109,9.048,3.315,6.276,25.308,44.221,24.769,0.338,5.256,NA
Chmp6,MUHR,M02070591,Chmp6(b):Het,Het,Female,2015-06-15,16.1,11.094,21.888,8.112,13.775,36.185,13.559,16.541,3.441,6.789,2.516,4.273,11.224,4.206,5.131,31.019,37.025,27.511,0.185,4.138,NA
Hbs1l,METC,M02067278,WT,WT,Female,2015-06-15,15.9,13.442,19.252,5.836,13.416,35.104,10.963,19.582,3.653,5.232,1.586,3.646,9.539,2.979,5.321,27.174,43.161,25.039,0.25,4.292,NA
Cfap61,MGMN,M02070424,WT,WT,Male,2015-06-15,16,8.331,19.448,11.346,8.101,35.872,13.262,21.796,1.854,4.327,2.525,1.803,7.982,2.951,4.85,22.251,48.038,26.224,0.205,3.169,NA
Hbs1l,METC,M02067277,WT,WT,Female,2015-06-15,15.9,12.946,22.579,6.195,16.383,35.237,9.723,17.865,3.342,5.829,1.599,4.229,9.096,2.51,4.612,25.815,44.401,25.847,0.243,3.598,NA
Brf1,MGHC,M02070020,WT,WT,Male,2015-06-15,16.1,10.319,21.665,12.574,9.092,30.603,12.118,24.751,2.074,4.355,2.528,1.828,6.152,2.436,4.976,20.103,52.808,24.299,0.165,2.555,NA
Brf1,MGHC,M02070023,WT,WT,Female,2015-06-15,16.1,14.88,24.796,9.693,15.104,25.393,8.972,25.149,3.327,5.544,2.167,3.377,5.677,2.006,5.623,22.358,46.378,26.235,0.225,4.711,NA
Tuft1,MGQB,M02067182,Tuft1:Hom,Hom,Male,2015-06-15,16.1,8.974,25.317,14.202,11.115,36.719,11.436,16.679,2.344,6.612,3.709,2.903,9.589,2.987,4.356,26.115,47.361,23.566,0.108,2.731,NA
Sept10,MFXQ,M02068077,Sept10:Het,Het,Female,2015-06-15,16,14.046,13.203,4.244,8.958,31.991,12.2,26.372,3.208,3.015,0.969,2.046,7.306,2.786,6.023,22.839,45.534,26.267,0.218,5.048,NA
