Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Granulocyte_precursors_-_%_of_CD45+,HFA-_%_of_B220+,HFA-_%_of_CD45+,HFB-_%_of_B220+,HFB-_%_of_CD45+,HFC-_%_of_B220+,HFC-_%_of_CD45+,HFD-_%_of_B220+,HFD-_%_of_CD45+,HFE-_%_of_B220+,HFE-_%_of_CD45+,HFF-_%_of_B220+,HFF-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+
Lce3c,MFVV,M01760412,Lce3c:Hom,Hom,Male,2014-06-23,63.19095267527521,10.327772484949223,1.7022200691579104,13.07238562422719,2.1545863053973235,10.562909208846005,1.7409752267677863,24.97719579186346,4.116733207490437,10.058176068757222,1.6577852763810703,28.96438489449253,4.773900405926866,18.274393197801647,0.08218766182784024,1.9704993067504135,16.481967158344887
Lce3c,MFVV,M01760417,Lce3c:Hom,Hom,Female,2014-06-23,47.01407405371231,9.476198186528498,2.413136699744358,13.923521157167531,3.5456582094065254,12.396103195164077,3.156697545287116,27.7701316925734,7.071730943676297,11.238395941278066,2.8618846037549135,24.99190414507772,6.364248604964402,25.37315484207922,0.11923087495533137,2.028299293548476,25.465240935704664
Ppil3,MUEP,M01748036,Ppil3(b):Hom,Hom,Male,2014-06-25,43.35481589816943,6.140724480992476,1.8074283601999326,17.2591160764014,5.079956927725366,11.20903362491673,3.299207663007666,29.549301619543733,8.697385127207856,12.568664067533772,3.699394095241156,21.88185958129935,6.440590797319233,25.151315472268205,0.08453737484129152,1.9758602401118592,29.433471014609214
Nubpl,MUBJ,M01751982,Nubpl(b):Het,Het,Female,2014-06-25,45.411497913741734,10.74359221895062,2.504916704415327,12.656272626345514,2.9508667186238293,12.097552734469277,2.820598670309295,27.4002027320558,6.388480140453153,12.180817685958392,2.8400122671423467,24.418352078003572,5.693248288649236,28.561902645032227,0.23408858789998338,2.477062413307036,23.315448440019022
Ndufb8,MFHG,M01755113,Ndufb8:Het,Het,Male,2014-06-25,47.42113926298575,7.8580162965841165,1.8225239146626235,15.541181445207593,3.6044942867214975,11.693313372112957,2.712051293604998,29.418419939887773,6.823067279122347,14.192656251785655,3.291728402588005,20.389015233763413,4.728861134598003,27.562361011347043,0.08402269938162474,1.7392963827830332,23.193180643502554
Tchp,MGEH,M01756063,Tchp:Hom,Hom,Male,2014-06-25,48.006057006490416,7.247998115873763,1.6466817556757682,16.151672162034856,3.6695185964011103,11.387187941592087,2.587069468299704,31.03391427225624,7.050633791889389,12.48469147432878,2.8364126683467905,20.481629769194537,4.653247079848682,27.282747697855967,0.10487396396830237,1.8871962801847066,22.71912505150061
Dap,MGBG,M01757482,Dap:Hom,Hom,Male,2014-06-25,60.94631926914625,9.989343347203897,1.0909050605026975,13.409621435095909,1.464422973014162,9.469197198822693,1.0341015203952417,19.9964477824013,2.183749754082235,9.091139754389527,0.9928150449025057,34.91322439866031,3.812764448188244,26.713735095997983,0.12967832570872806,1.289578905659018,10.920688403488015
1700067K01Rik,MFLD,M01758726,1700067K01Rik:Het,Het,Female,2014-06-25,47.71603098478759,14.26558752997602,2.8654606322799347,9.13369304556355,1.8346414260468507,11.722122302158274,2.354566884330886,25.040467625899282,5.02975948555378,10.996702637889689,2.2088552909264427,27.96312949640288,5.616820657327878,28.315917185237367,0.14450736535977818,3.737020679606097,20.086523785009167
Prrg2,MUBG,M01759337,Prrg2(b):Hom,Hom,Female,2014-06-25,43.405929273405384,9.864698074101675,2.306373016089075,13.536014531566568,3.1647292625159937,12.150392398872873,2.8407698799444643,25.153117067604384,5.88081561538671,10.87305838243171,2.5421283314730623,27.973265643557436,6.540168241091117,29.713336781640486,0.1878419949364332,3.312824980262979,23.38006696975472
Dnase1l2,MUCK,M01762196,Dnase1l2(tm1.1):Hom,Hom,Male,2014-06-25,49.56821737560676,7.7749767812126835,1.7239212120401697,15.624736150144136,3.4644237326665155,10.573292966818242,2.344383081716433,30.19889755991653,6.695906823743364,12.048439818109449,2.6714627656018077,21.752083660004583,4.823021274888678,26.19713036385275,0.11285987457042376,1.9491060802588822,22.172686305711192
Dnase1l2,MUCK,M01762197,Dnase1l2(tm1.1):Hom,Hom,Male,2014-06-25,50.44130650448585,6.2181317855449825,1.4498145272601795,17.181375666269698,4.005995514147688,10.400166495161233,2.4248943236714977,32.226063430031566,7.513802622498275,11.524008833493276,2.6869284851621806,20.249973985131057,4.721467391304348,24.24220367494824,0.0762918391994479,1.9242796756383713,23.31591830572809
Nxn,MUCQ,M01759121,Nxn(b):Het,Het,Female,2014-07-02,42.44930671190028,9.71051227321238,2.8318990335984067,13.689967982924225,3.992436857093948,12.187833511205977,3.5543659253956648,27.585378868729986,8.044787500583576,13.636606189967985,3.976874834653511,22.777481323372463,6.642649278700261,25.47969934172645,0.14589396037909086,2.761869932616443,29.163230053377738
Ppil3,MUEP,M01759823,Ppil3(b):Hom,Hom,Female,2014-07-02,43.307424096748406,12.071803963781422,2.9446175588170562,11.327803457227887,2.76313706410895,11.70930158931172,2.8561940837358724,22.525802570759197,5.494611573822017,12.757234217691382,3.1118112911758007,28.716836573165327,7.004760967020747,28.6434139956213,0.17800533629880186,3.4786335677134614,24.392523003618027
Ppil3,MUEP,M01759824,Ppil3(b):Hom,Hom,Female,2014-07-02,47.72360501485005,13.665214410509321,3.248087891292349,9.735276555277881,2.3139800772728467,11.528849768892231,2.740294898415118,26.910232877015282,6.396299314006361,13.450693323307606,3.197098325754987,23.639339186589115,5.618839855967619,25.5016164217941,0.11249244355665362,2.893263595027203,23.769022524771994
Chd9,MGJD,M01760016,Chd9:Hom,Hom,Female,2014-07-02,48.76963553354484,15.014221047149782,2.416879465552374,10.106958298281457,1.626944208001238,12.314225053078557,1.9822538626221982,26.563313704282336,4.275967912507415,9.113487962184031,1.467022621166396,25.910347314024758,4.170858159869999,30.264515463385695,0.1889396167040677,4.679640950243751,16.09726843612164
Tchp,MGEH,M01762934,Tchp:Hom,Hom,Male,2014-07-02,51.55160050624043,7.960609813905836,1.720292244806244,15.439546156551524,3.336494582368161,10.378151902992492,2.2427244459277715,32.2935302842638,6.978650003469664,12.855329755187547,2.7780439688985967,18.85101763077817,4.073715480977983,24.88343582609385,0.08062837259560575,1.8742792186978516,21.610056076372253
Dlg4,MEEV,M01764052,WT,WT,Male,2014-07-02,50.09485868957532,7.678148829871155,1.516517021101094,15.721334550122968,3.1051327563399513,10.22567323011245,2.019680504935401,23.424231643748744,4.626537825857166,12.773197630353744,2.5228439887697087,27.803127561831992,5.49141689248432,27.624500120673694,0.12433973158504136,2.4052253237568317,19.75107613440911
Nrde2,MFUJ,M01764701,Nrde2:Het,Het,Female,2014-07-02,48.16688031697937,14.175971571411154,2.7096409009938904,9.22361384500148,1.7630312817353955,12.214538296723395,2.334726222385003,21.270925148501053,4.065793197596017,13.365965822983261,2.5548137912664193,29.36227289354957,5.61239948723925,29.31859423643598,0.1611533787270881,3.239049727803952,19.114322340053608
Nrde2,MFUJ,M01764702,Nrde2:Het,Het,Female,2014-07-02,47.03847576766555,11.022900763358779,2.6711061783203847,12.374045801526718,2.998520162782094,11.86259541984733,2.874583795782464,24.83969465648855,6.019237883832779,14.450381679389313,3.5016648168701447,24.709923664122137,5.987791342952276,25.972992970773216,0.16278209396966334,2.593414724380318,24.232334443211247
